time,Solar8000/PLETH_HR,Solar8000/ART_SBP,Solar8000/ART_MBP,Solar8000/ART_DBP,SNUADC/ART,Solar8000/RR_CO2,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,SNUADC/ECG_II,Solar8000/ETCO2,Solar8000/CVP,SNUADC/CVP,Solar8000/HR
0,,,,,NaN,,,NaN,NaN,,,NaN,
1,,,,,-496.78717041015625,,,-4.9562602043151855,-4.9562602043151855,,,-495.6260070800781,
2,,,,,-496.7851867675781,,,-4.956240177154541,-4.956240177154541,,,-495.6240234375,
3,,,,,NaN,,,NaN,NaN,,,NaN,
4,,,,,NaN,,,NaN,NaN,,,NaN,73
5,,,,,NaN,,,NaN,NaN,,,NaN,
6,,,,,NaN,,,NaN,NaN,,,NaN,73
7,,,,,NaN,,,NaN,NaN,,,NaN,
8,,,,,NaN,,,NaN,NaN,,,NaN,73
9,,,,,NaN,,,NaN,NaN,,,NaN,
10,,,,,NaN,,,NaN,NaN,,,NaN,73
11,,,,,NaN,,,NaN,NaN,,,NaN,
12,,,,,NaN,,,NaN,NaN,,,NaN,72
13,,,,,NaN,,,NaN,NaN,,,NaN,
14,,,,,NaN,,,NaN,NaN,,,NaN,72
15,,,,,NaN,,,NaN,NaN,,,NaN,
16,,,,,NaN,,,NaN,NaN,,,NaN,72
17,,,,,NaN,,,NaN,NaN,,,NaN,
18,,,,,NaN,,,NaN,NaN,,,NaN,72
19,,,,,NaN,,,NaN,NaN,,,NaN,
20,,,,,NaN,,,NaN,NaN,,,NaN,72
21,,,,,NaN,,,NaN,NaN,,,NaN,
22,,,,,NaN,,,NaN,NaN,,,NaN,72
23,,,,,NaN,,,NaN,NaN,,,NaN,
24,,,,,NaN,,,NaN,NaN,,,NaN,72
25,,,,,NaN,,,NaN,NaN,,,NaN,
26,,,,,NaN,,,NaN,NaN,,,NaN,73
27,,,,,NaN,,,NaN,NaN,,,NaN,
28,,,,,NaN,,,NaN,NaN,,,NaN,73
29,,,,,NaN,,,NaN,NaN,,,NaN,
30,,,,,NaN,,,NaN,NaN,,,NaN,73
31,,,,,NaN,,,NaN,NaN,,,NaN,
32,,,,,NaN,,,NaN,NaN,,,NaN,73
33,,,,,NaN,,,NaN,NaN,,,NaN,
34,107,,,,NaN,,91,NaN,NaN,,,NaN,72
35,,,,,NaN,,,NaN,NaN,,,NaN,
36,107,,,,NaN,,91,NaN,NaN,,,NaN,72
37,,,,,NaN,,,NaN,NaN,,,NaN,
38,86,,,,NaN,,92,NaN,NaN,,,NaN,72
39,,,,,NaN,,,NaN,NaN,,,NaN,
40,73,,,,NaN,,92,NaN,NaN,,,NaN,72
41,,,,,NaN,,,NaN,NaN,,,NaN,
42,72,,,,NaN,,93,NaN,NaN,,,NaN,71
43,,,,,NaN,,,NaN,NaN,,,NaN,
44,72,,,,NaN,,93,NaN,NaN,,,NaN,71
45,,,,,NaN,,,NaN,NaN,,,NaN,
46,72,,,,NaN,,93,NaN,NaN,,,NaN,71
47,,,,,NaN,,,NaN,NaN,,,NaN,
48,72,,,,NaN,,92,NaN,NaN,,,NaN,71
49,,,,,NaN,,,NaN,NaN,,,NaN,
