time,Solar8000/CVP,SNUADC/CVP,Solar8000/RR_CO2,Solar8000/ART_DBP,Solar8000/HR,Solar8000/PLETH_HR,SNUADC/ECG_V5,Solar8000/ART_SBP,SNUADC/ECG_II,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,SNUADC/ART,Solar8000/ETCO2
0,,NaN,,,,,NaN,,NaN,,,NaN,
1,,-495.6260070800781,,,,,-4.9562602043151855,,-4.9562602043151855,,,-494.5040283203125,
2,,-495.6240234375,,,,,-4.956240177154541,,-4.956240177154541,,,-494.5020446777344,
3,,NaN,,,,,NaN,,NaN,,,NaN,
4,,NaN,,,,,NaN,,NaN,,,NaN,
5,-16,NaN,,67,122,122,NaN,141,NaN,88,100,NaN,
6,,NaN,,,,,NaN,,NaN,,,NaN,
7,-16,NaN,,66,121,122,NaN,140,NaN,88,100,NaN,
8,,NaN,,,,,NaN,,NaN,,,NaN,
9,-16,NaN,,67,121,121,NaN,141,NaN,88,100,NaN,
10,,NaN,,,,,NaN,,NaN,,,NaN,
11,-16,NaN,,67,121,121,NaN,142,NaN,89,100,NaN,
12,,NaN,,,,,NaN,,NaN,,,NaN,
13,-16,NaN,,70,120,121,NaN,143,NaN,90,100,NaN,
14,,NaN,,,,,NaN,,NaN,,,NaN,
15,-16,NaN,,69,120,121,NaN,143,NaN,89,100,NaN,
16,,NaN,,,,,NaN,,NaN,,,NaN,
17,-16,NaN,,68,107,121,NaN,141,NaN,88,100,NaN,
18,,NaN,,,,,NaN,,NaN,,,NaN,
19,-16,NaN,,66,120,120,NaN,140,NaN,87,100,NaN,
20,,NaN,,,,,NaN,,NaN,,,NaN,
21,-16,NaN,,67,121,120,NaN,140,NaN,88,100,NaN,
22,,NaN,,,,,NaN,,NaN,,,NaN,
23,-16,NaN,,69,121,120,NaN,142,NaN,89,100,NaN,
24,,NaN,,,,,NaN,,NaN,,,NaN,
25,-16,NaN,,70,120,120,NaN,142,NaN,90,100,NaN,
26,,NaN,,,,,NaN,,NaN,,,NaN,
27,-16,NaN,,71,118,120,NaN,142,NaN,91,100,NaN,
28,,NaN,,,,,NaN,,NaN,,,NaN,
29,-16,NaN,,71,121,121,NaN,142,NaN,91,100,NaN,
30,,NaN,,,,,NaN,,NaN,,,NaN,
31,-16,NaN,,70,121,121,NaN,141,NaN,90,100,NaN,
32,,NaN,,,,,NaN,,NaN,,,NaN,
33,-16,NaN,,70,120,121,NaN,141,NaN,90,100,NaN,
34,,NaN,,,,,NaN,,NaN,,,NaN,
35,-16,NaN,,70,120,121,NaN,142,NaN,91,100,NaN,
36,,NaN,,,,,NaN,,NaN,,,NaN,
37,-16,NaN,,69,121,121,NaN,140,NaN,90,100,NaN,
38,,NaN,,,,,NaN,,NaN,,,NaN,
39,-16,NaN,,68,120,120,NaN,138,NaN,89,100,NaN,
40,,NaN,,,,,NaN,,NaN,,,NaN,
41,-16,NaN,,69,120,120,NaN,138,NaN,89,100,NaN,
42,,NaN,,,,,NaN,,NaN,,,NaN,
43,-16,NaN,,69,120,120,NaN,138,NaN,89,100,NaN,
44,,NaN,,,,,NaN,,NaN,,,NaN,
45,-16,NaN,,71,120,121,NaN,140,NaN,90,100,NaN,
46,,NaN,,,,,NaN,,NaN,,,NaN,
47,-16,NaN,,68,121,120,NaN,138,NaN,89,100,NaN,
48,,NaN,,,,,NaN,,NaN,,,NaN,
49,-16,NaN,,69,120,121,NaN,138,NaN,90,100,NaN,
50,,NaN,,,,,NaN,,NaN,,,NaN,
51,-16,NaN,,68,120,122,NaN,135,NaN,87,100,NaN,
52,,NaN,,,,,NaN,,NaN,,,NaN,
53,-16,NaN,,74,123,124,NaN,139,NaN,91,100,NaN,
54,,NaN,,,,,NaN,,NaN,,,NaN,
55,-16,NaN,,76,125,125,NaN,143,NaN,96,100,NaN,
56,,NaN,,,,,NaN,,NaN,,,NaN,
57,-16,NaN,,70,125,125,NaN,142,NaN,94,100,NaN,
58,,NaN,,,,,NaN,,NaN,,,NaN,
59,-16,NaN,,75,125,126,NaN,144,NaN,96,100,NaN,
60,,NaN,,,,,NaN,,NaN,,,NaN,
61,-16,NaN,,75,127,127,NaN,142,NaN,95,100,NaN,
62,,NaN,,,,,NaN,,NaN,,,NaN,
63,-16,NaN,,72,128,128,NaN,139,NaN,94,100,NaN,
64,,NaN,,,,,NaN,,NaN,,,NaN,
65,-16,NaN,,71,128,129,NaN,139,NaN,93,100,NaN,
66,,NaN,,,,,NaN,,NaN,,,NaN,
67,-16,NaN,,67,128,129,NaN,135,NaN,89,100,NaN,
68,,NaN,,,,,NaN,,NaN,,,NaN,
69,-16,NaN,,63,129,129,NaN,131,NaN,86,100,NaN,
70,,NaN,,,,,NaN,,NaN,,,NaN,
71,-16,NaN,,62,129,130,NaN,129,NaN,82,100,NaN,
72,,NaN,,,,,NaN,,NaN,,,NaN,
73,-16,NaN,,59,129,130,NaN,126,NaN,80,100,NaN,
74,,NaN,,,,,NaN,,NaN,,,NaN,
75,-16,NaN,,58,129,130,NaN,125,NaN,78,100,NaN,
76,,NaN,,,,,NaN,,NaN,,,NaN,
77,-16,NaN,,58,129,130,NaN,125,NaN,77,100,NaN,
78,,NaN,,,,,NaN,,NaN,,,NaN,
79,-16,NaN,,58,130,131,NaN,124,NaN,77,100,NaN,
80,,NaN,,,,,NaN,,NaN,,,NaN,
81,-16,NaN,,58,130,131,NaN,125,NaN,77,100,NaN,
82,,NaN,,,,,NaN,,NaN,,,NaN,
83,-16,NaN,,55,130,131,NaN,121,NaN,77,100,NaN,
84,,NaN,,,,,NaN,,NaN,,,NaN,
85,-16,NaN,,58,130,131,NaN,124,NaN,77,100,NaN,
86,,NaN,,,,,NaN,,NaN,,,NaN,
87,-17,NaN,,56,130,131,NaN,129,NaN,77,100,NaN,
88,,NaN,,,,,NaN,,NaN,,,NaN,
89,-17,NaN,,59,138,132,NaN,124,NaN,77,100,NaN,
90,,NaN,,,,,NaN,,NaN,,,NaN,
91,-17,NaN,,59,140,132,NaN,124,NaN,77,100,NaN,
92,,NaN,,,,,NaN,,NaN,,,NaN,
93,-17,NaN,,60,131,132,NaN,125,NaN,78,100,NaN,
94,,NaN,,,,,NaN,,NaN,,,NaN,
95,-17,NaN,,60,124,132,NaN,124,NaN,78,100,NaN,
96,,NaN,,,,,NaN,,NaN,,,NaN,
97,-16,NaN,,60,132,133,NaN,125,NaN,79,100,NaN,
98,,NaN,,,,,NaN,,NaN,,,NaN,
99,-16,NaN,,61,132,133,NaN,126,NaN,79,100,NaN,
100,,NaN,,,,,NaN,,NaN,,,NaN,
101,-16,NaN,,61,133,134,NaN,127,NaN,80,100,NaN,
102,,NaN,,,,,NaN,,NaN,,,NaN,
103,-16,NaN,,62,133,134,NaN,127,NaN,80,100,NaN,
104,,NaN,,,,,NaN,,NaN,,,NaN,
105,-16,NaN,,62,133,134,NaN,127,NaN,81,100,NaN,
106,,NaN,,,,,NaN,,NaN,,,NaN,
107,-16,NaN,,61,134,135,NaN,127,NaN,81,100,NaN,
108,,NaN,,,,,NaN,,NaN,,,NaN,
109,-16,NaN,,62,135,135,NaN,128,NaN,81,100,NaN,
110,,NaN,,,,,NaN,,NaN,,,NaN,
111,-16,NaN,,62,135,135,NaN,128,NaN,82,100,NaN,
112,,NaN,,,,,NaN,,NaN,,,NaN,
113,-16,NaN,,59,135,136,NaN,127,NaN,82,100,NaN,
114,,NaN,,,,,NaN,,NaN,,,NaN,
115,-16,NaN,,55,135,137,NaN,137,NaN,83,100,NaN,
116,,NaN,,,,,NaN,,NaN,,,NaN,
117,-17,NaN,,63,145,137,NaN,129,NaN,82,100,NaN,
118,,NaN,,,,,NaN,,NaN,,,NaN,
119,-17,NaN,,63,145,137,NaN,129,NaN,82,100,NaN,
120,,NaN,,,,,NaN,,NaN,,,NaN,
121,-16,NaN,,63,146,138,NaN,130,NaN,82,100,NaN,
122,,NaN,,,,,NaN,,NaN,,,NaN,
123,-16,NaN,,63,135,138,NaN,131,NaN,83,100,NaN,
124,,NaN,,,,,NaN,,NaN,,,NaN,
125,-16,NaN,,64,135,138,NaN,130,NaN,83,100,NaN,
126,,NaN,,,,,NaN,,NaN,,,NaN,
127,-16,NaN,,64,138,139,NaN,132,NaN,83,100,NaN,
128,,NaN,,,,,NaN,,NaN,,,NaN,
129,-16,NaN,,66,139,139,NaN,133,NaN,85,100,NaN,
130,,NaN,,,,,NaN,,NaN,,,NaN,
131,-17,NaN,,68,139,140,NaN,134,NaN,87,100,NaN,
132,,NaN,,,,,NaN,,NaN,,,NaN,
133,-17,NaN,,67,140,141,NaN,136,NaN,87,100,NaN,
134,,NaN,,,,,NaN,,NaN,,,NaN,
135,-16,NaN,,70,141,141,NaN,138,NaN,89,100,NaN,
136,,NaN,,,,,NaN,,NaN,,,NaN,
137,-16,NaN,,74,143,142,NaN,142,NaN,93,100,NaN,
138,,NaN,,,,,NaN,,NaN,,,NaN,
139,-16,NaN,,77,142,143,NaN,147,NaN,97,100,NaN,
140,,NaN,,,,,NaN,,NaN,,,NaN,
141,-16,NaN,,79,142,145,NaN,150,NaN,100,100,NaN,
142,,NaN,,,,,NaN,,NaN,,,NaN,
143,-17,NaN,,83,152,146,NaN,155,NaN,104,100,NaN,
144,,NaN,,,,,NaN,,NaN,,,NaN,
145,-17,NaN,,85,160,148,NaN,160,NaN,108,100,NaN,
146,,NaN,,,,,NaN,,NaN,,,NaN,
147,-17,NaN,,80,160,149,NaN,160,NaN,109,100,NaN,
