time,SNUADC/ECG_II,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ART_DBP,Solar8000/CVP,Solar8000/ART_SBP,SNUADC/CVP,SNUADC/ECG_V5,Solar8000/ETCO2,Solar8000/RR_CO2,Solar8000/ART_MBP,Solar8000/HR,Solar8000/PLETH_SPO2
0,NaN,,NaN,,,,NaN,NaN,,,,,
1,-4.9562602043151855,,-498.6846008300781,,,,-495.6260070800781,-4.9562602043151855,,,,,
2,-4.956240177154541,73,-498.6826477050781,-17,-28,-17,-495.6240234375,-4.956240177154541,,,-17,71,95
3,NaN,,NaN,,,,NaN,NaN,,,,,
4,NaN,73,NaN,-17,-28,-17,NaN,NaN,,,-17,71,95
5,NaN,,NaN,,,,NaN,NaN,,,,,
6,NaN,73,NaN,-17,-29,-17,NaN,NaN,,,-17,71,97
7,NaN,,NaN,,,,NaN,NaN,,,,,
8,NaN,75,NaN,-17,-29,-17,NaN,NaN,,,-17,71,94
9,NaN,,NaN,,,,NaN,NaN,,,,,
10,NaN,76,NaN,-17,-29,-17,NaN,NaN,,,-17,70,93
11,NaN,,NaN,,,,NaN,NaN,,,,,
12,NaN,76,NaN,-18,-29,-16,NaN,NaN,,,-17,69,93
13,NaN,,NaN,,,,NaN,NaN,,,,,
14,NaN,76,NaN,-18,-29,-16,NaN,NaN,,,-17,69,93
15,NaN,,NaN,,,,NaN,NaN,,,,,
16,NaN,75,NaN,-16,-29,-16,NaN,NaN,,,-16,71,96
17,NaN,,NaN,,,,NaN,NaN,,,,,
18,NaN,76,NaN,-16,-29,-16,NaN,NaN,,,-16,73,97
19,NaN,,NaN,,,,NaN,NaN,,,,,
20,NaN,78,NaN,-16,-29,-16,NaN,NaN,,,-16,75,97
21,NaN,,NaN,,,,NaN,NaN,,,,,
22,NaN,75,NaN,-16,-29,-16,NaN,NaN,,,-16,74,98
23,NaN,,NaN,,,,NaN,NaN,,,,,
24,NaN,74,NaN,-17,-29,-17,NaN,NaN,,,-17,73,99
25,NaN,,NaN,,,,NaN,NaN,,,,,
26,NaN,73,NaN,-17,-29,-17,NaN,NaN,,,-17,71,99
27,NaN,,NaN,,,,NaN,NaN,,,,,
28,NaN,72,NaN,-18,-28,-16,NaN,NaN,,,-17,71,99
29,NaN,,NaN,,,,NaN,NaN,,,,,
30,NaN,71,NaN,-18,-28,-16,NaN,NaN,,,-17,71,97
31,NaN,,NaN,,,,NaN,NaN,,,,,
32,NaN,71,NaN,-17,-28,-17,NaN,NaN,,,-17,70,97
33,NaN,,NaN,,,,NaN,NaN,,,,,
34,NaN,71,NaN,-17,-28,-17,NaN,NaN,,,-17,70,97
35,NaN,,NaN,,,,NaN,NaN,,,,,
36,NaN,71,NaN,-17,-28,-17,NaN,NaN,,,-17,70,98
37,NaN,,NaN,,,,NaN,NaN,,,,,
38,NaN,71,NaN,-17,-28,-17,NaN,NaN,,,-17,71,97
39,NaN,,NaN,,,,NaN,NaN,,,,,
40,NaN,71,NaN,-17,-28,-17,NaN,NaN,,,-17,71,97
41,NaN,,NaN,,,,NaN,NaN,,,,,
42,NaN,72,NaN,-19,-29,-16,NaN,NaN,,,-17,71,96
43,NaN,,NaN,,,,NaN,NaN,,,,,
44,NaN,71,NaN,-19,-29,-16,NaN,NaN,,,-17,71,95
45,NaN,,NaN,,,,NaN,NaN,,,,,
46,NaN,72,NaN,-16,-29,-16,NaN,NaN,,,-16,71,94
47,NaN,,NaN,,,,NaN,NaN,,,,,
48,NaN,72,NaN,-16,-29,-16,NaN,NaN,,,-16,71,95
49,NaN,,NaN,,,,NaN,NaN,,,,,
50,NaN,72,NaN,-17,-29,-17,NaN,NaN,,,-17,72,97
51,NaN,,NaN,,,,NaN,NaN,,,,,
52,NaN,73,NaN,-17,-29,-17,NaN,NaN,,,-17,72,98
53,NaN,,NaN,,,,NaN,NaN,,,,,
54,NaN,72,NaN,-17,-29,-17,NaN,NaN,,,-17,72,98
55,NaN,,NaN,,,,NaN,NaN,,,,,
56,NaN,73,NaN,-17,-29,-17,NaN,NaN,,,-17,72,98
