time,Solar8000/ART_DBP,Solar8000/HR,Solar8000/ETCO2,SNUADC/ECG_V5,Solar8000/ART_SBP,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/PLETH_SPO2,SNUADC/ECG_II,Solar8000/ART_MBP,SNUADC/ART,Solar8000/PLETH_HR,SNUADC/CVP
0,,,,NaN,,,,,NaN,,NaN,,NaN
1,-9,100,,-4.9562602043151855,-9,,-10,97,-4.9562602043151855,-9,-496.78717041015625,100,-495.6260070800781
2,,,,-4.956240177154541,,,,,-4.956240177154541,,-496.7851867675781,,-495.6240234375
3,-9,99,,NaN,-9,,-10,97,NaN,-9,NaN,100,NaN
4,,,,NaN,,,,,NaN,,NaN,,NaN
5,-9,99,,NaN,-9,,-10,97,NaN,-9,NaN,100,NaN
6,,,,NaN,,,,,NaN,,NaN,,NaN
7,-9,99,,NaN,-9,,-10,97,NaN,-9,NaN,99,NaN
8,,,,NaN,,,,,NaN,,NaN,,NaN
9,-9,99,,NaN,-9,,-10,97,NaN,-9,NaN,99,NaN
10,,,,NaN,,,,,NaN,,NaN,,NaN
11,-9,98,,NaN,-9,,-11,97,NaN,-9,NaN,99,NaN
12,,,,NaN,,,,,NaN,,NaN,,NaN
13,-9,98,,NaN,-9,,-11,96,NaN,-9,NaN,99,NaN
14,,,,NaN,,,,,NaN,,NaN,,NaN
15,-9,98,,NaN,-9,,-11,96,NaN,-9,NaN,99,NaN
16,,,,NaN,,,,,NaN,,NaN,,NaN
17,-8,98,,NaN,-8,,-11,96,NaN,-8,NaN,98,NaN
18,,,,NaN,,,,,NaN,,NaN,,NaN
19,-8,97,,NaN,-8,,-11,96,NaN,-8,NaN,98,NaN
20,,,,NaN,,,,,NaN,,NaN,,NaN
21,-8,97,,NaN,-8,,-11,96,NaN,-8,NaN,98,NaN
22,,,,NaN,,,,,NaN,,NaN,,NaN
23,-8,97,,NaN,-8,,-11,96,NaN,-8,NaN,98,NaN
24,,,,NaN,,,,,NaN,,NaN,,NaN
25,-8,97,,NaN,-8,,-11,96,NaN,-8,NaN,98,NaN
26,,,,NaN,,,,,NaN,,NaN,,NaN
27,-8,97,,NaN,-8,,-11,96,NaN,-8,NaN,98,NaN
28,,,,NaN,,,,,NaN,,NaN,,NaN
29,-8,97,,NaN,-8,,-11,96,NaN,-8,NaN,98,NaN
30,,,,NaN,,,,,NaN,,NaN,,NaN
31,-8,98,,NaN,-8,,-11,96,NaN,-8,NaN,98,NaN
32,,,,NaN,,,,,NaN,,NaN,,NaN
33,-8,98,,NaN,-8,,-10,96,NaN,-8,NaN,98,NaN
34,,,,NaN,,,,,NaN,,NaN,,NaN
35,-8,97,,NaN,-8,,-10,96,NaN,-8,NaN,98,NaN
36,,,,NaN,,,,,NaN,,NaN,,NaN
37,-7,97,,NaN,-7,,-10,96,NaN,-7,NaN,98,NaN
38,,,,NaN,,,,,NaN,,NaN,,NaN
39,-7,97,,NaN,-7,,-10,96,NaN,-7,NaN,97,NaN
40,,,,NaN,,,,,NaN,,NaN,,NaN
41,-7,96,,NaN,-7,,-10,96,NaN,-7,NaN,96,NaN
42,,,,NaN,,,,,NaN,,NaN,,NaN
43,-7,96,,NaN,-7,,-10,96,NaN,-7,NaN,96,NaN
44,,,,NaN,,,,,NaN,,NaN,,NaN
45,-7,96,,NaN,-7,,-10,96,NaN,-7,NaN,97,NaN
46,,,,NaN,,,,,NaN,,NaN,,NaN
47,-7,96,,NaN,-7,,-10,95,NaN,-7,NaN,97,NaN
48,,,,NaN,,,,,NaN,,NaN,,NaN
49,-7,96,,NaN,-7,,-10,95,NaN,-7,NaN,97,NaN
