time,Solar8000/PLETH_HR,SNUADC/CVP,SNUADC/ART,Solar8000/RR_CO2,SNUADC/ECG_II,Solar8000/HR,Solar8000/ART_SBP,Solar8000/ART_MBP,SNUADC/ECG_V5,Solar8000/CVP,Solar8000/ETCO2,Solar8000/PLETH_SPO2,Solar8000/ART_DBP
0,,NaN,NaN,,NaN,,,,NaN,,,,
1,,-495.6260070800781,-499.346923828125,,-4.9562602043151855,,,,-4.9562602043151855,,,,
2,,-495.6240234375,-499.344970703125,,-4.956240177154541,52,,39,-4.956240177154541,0,,,
3,,NaN,NaN,,NaN,,,,NaN,,,,
4,54,NaN,NaN,,NaN,52,,39,NaN,0,,100,
5,,NaN,NaN,,NaN,,,,NaN,,,,
6,54,NaN,NaN,,NaN,51,,39,NaN,0,,100,
7,,NaN,NaN,,NaN,,,,NaN,,,,
8,54,NaN,NaN,,NaN,52,,38,NaN,0,,100,
9,,NaN,NaN,,NaN,,,,NaN,,,,
10,54,NaN,NaN,,NaN,53,,38,NaN,0,,100,
11,,NaN,NaN,,NaN,,,,NaN,,,,
12,55,NaN,NaN,,NaN,55,,39,NaN,0,,100,
13,,NaN,NaN,,NaN,,,,NaN,,,,
14,55,NaN,NaN,,NaN,55,,39,NaN,0,,100,
15,,NaN,NaN,,NaN,,,,NaN,,,,
16,55,NaN,NaN,,NaN,55,,35,NaN,0,,100,
17,,NaN,NaN,,NaN,,,,NaN,,,,
18,56,NaN,NaN,,NaN,55,,35,NaN,0,,100,
19,,NaN,NaN,,NaN,,,,NaN,,,,
20,56,NaN,NaN,,NaN,55,,35,NaN,-3,,100,
21,,NaN,NaN,,NaN,,,,NaN,,,,
22,55,NaN,NaN,,NaN,55,,39,NaN,-3,,100,
23,,NaN,NaN,,NaN,,,,NaN,,,,
24,54,NaN,NaN,,NaN,55,,39,NaN,1,,100,
25,,NaN,NaN,,NaN,,,,NaN,,,,
26,55,NaN,NaN,,NaN,55,,39,NaN,1,,100,
27,,NaN,NaN,,NaN,,,,NaN,,,,
28,55,NaN,NaN,,NaN,54,,37,NaN,1,,100,
29,,NaN,NaN,,NaN,,,,NaN,,,,
30,55,NaN,NaN,,NaN,55,,38,NaN,1,,100,
31,,NaN,NaN,,NaN,,,,NaN,,,,
32,56,NaN,NaN,,NaN,55,,38,NaN,0,,100,
33,,NaN,NaN,,NaN,,,,NaN,,,,
34,56,NaN,NaN,,NaN,55,,39,NaN,0,,100,
35,,NaN,NaN,,NaN,,,,NaN,,,,
36,56,NaN,NaN,,NaN,55,,39,NaN,0,,100,
37,,NaN,NaN,,NaN,,,,NaN,,,,
38,56,NaN,NaN,,NaN,55,,39,NaN,0,,100,
39,,NaN,NaN,,NaN,,,,NaN,,,,
40,56,NaN,NaN,,NaN,55,,39,NaN,0,,100,
41,,NaN,NaN,,NaN,,,,NaN,,,,
42,56,NaN,NaN,,NaN,55,,38,NaN,1,,100,
43,,NaN,NaN,,NaN,,,,NaN,,,,
44,56,NaN,NaN,,NaN,56,,32,NaN,1,,100,
45,,NaN,NaN,,NaN,,,,NaN,,,,
46,57,NaN,NaN,,NaN,56,,29,NaN,-1,,100,
47,,NaN,NaN,,NaN,,,,NaN,,,,
48,57,NaN,NaN,,NaN,56,34,23,NaN,-1,,100,6
49,,NaN,NaN,,NaN,,,,NaN,,,,
50,57,NaN,NaN,,NaN,56,29,16,NaN,-1,,100,-9
51,,NaN,NaN,,NaN,,,,NaN,,,,
52,57,NaN,NaN,,NaN,56,30,15,NaN,-1,,100,4
53,,NaN,NaN,,NaN,,,,NaN,,,,
54,56,NaN,NaN,,NaN,55,45,19,NaN,-1,,100,0
55,,NaN,NaN,,NaN,,,,NaN,,,,
56,56,NaN,NaN,,NaN,55,38,15,NaN,-1,,100,-6
57,,NaN,NaN,,NaN,,,,NaN,,,,
58,56,NaN,NaN,,NaN,56,29,15,NaN,-1,,100,4
59,,NaN,NaN,,NaN,,,,NaN,,,,
60,56,NaN,NaN,,NaN,56,29,15,NaN,-1,,100,4
61,,NaN,NaN,,NaN,,,,NaN,,,,
62,57,NaN,NaN,,NaN,56,26,18,NaN,-1,,100,14
63,,NaN,NaN,,NaN,,,,NaN,,,,
64,57,NaN,NaN,,NaN,56,,5,NaN,-1,,100,
65,,NaN,NaN,,NaN,,,,NaN,,,,
66,57,NaN,NaN,,NaN,56,,,NaN,-2,,100,
67,,NaN,NaN,,NaN,,,,NaN,,,,
68,56,NaN,NaN,,NaN,56,,,NaN,-2,,100,
69,,NaN,NaN,,NaN,,,,NaN,,,,
70,56,NaN,NaN,,NaN,55,,6,NaN,-2,,100,
71,,NaN,NaN,,NaN,,,,NaN,,,,
72,55,NaN,NaN,,NaN,54,,1,NaN,-2,,100,
73,,NaN,NaN,,NaN,,,,NaN,,,,
74,54,NaN,NaN,,NaN,53,,20,NaN,-2,,100,
75,,NaN,NaN,,NaN,,,,NaN,,,,
76,53,NaN,NaN,,NaN,53,,7,NaN,-2,,100,
77,,NaN,NaN,,NaN,,,,NaN,,,,
78,53,NaN,NaN,,NaN,53,,5,NaN,-2,,100,
79,,NaN,NaN,,NaN,,,,NaN,,,,
80,54,NaN,NaN,,NaN,53,,5,NaN,-3,,100,
81,,NaN,NaN,,NaN,,,,NaN,,,,
82,54,NaN,NaN,,NaN,54,,22,NaN,-3,,100,
83,,NaN,NaN,,NaN,,,,NaN,,,,
84,54,NaN,NaN,,NaN,54,59,18,NaN,-2,,100,-32
85,,NaN,NaN,,NaN,,,,NaN,,,,
86,55,NaN,NaN,,NaN,55,80,25,NaN,-2,,100,-26
87,,NaN,NaN,,NaN,,,,NaN,,,,
88,56,NaN,NaN,,NaN,55,58,29,NaN,-1,,100,6
89,,NaN,NaN,,NaN,,,,NaN,,,,
90,56,NaN,NaN,,NaN,56,50,29,NaN,-1,,100,10
91,,NaN,NaN,,NaN,,,,NaN,,,,
92,57,NaN,NaN,,NaN,56,50,29,NaN,-1,,100,10
93,,NaN,NaN,,NaN,,,,NaN,,,,
94,57,NaN,NaN,,NaN,57,30,30,NaN,-1,,100,30
95,,NaN,NaN,,NaN,,,,NaN,,,,
96,57,NaN,NaN,,NaN,56,30,30,NaN,1,,100,30
97,,NaN,NaN,,NaN,,,,NaN,,,,
98,57,NaN,NaN,,NaN,52,30,30,NaN,1,,100,30
99,,NaN,NaN,,NaN,,,,NaN,,,,
100,56,NaN,NaN,,NaN,51,30,30,NaN,1,,100,30
101,,NaN,NaN,,NaN,,,,NaN,,,,
102,56,NaN,NaN,,NaN,51,30,30,NaN,1,,100,30
103,,NaN,NaN,,NaN,,,,NaN,,,,
104,55,NaN,NaN,,NaN,50,30,30,NaN,1,,100,30
105,,NaN,NaN,,NaN,,,,NaN,,,,
106,55,NaN,NaN,,NaN,50,29,29,NaN,1,,100,29
107,,NaN,NaN,,NaN,,,,NaN,,,,
108,55,NaN,NaN,,NaN,55,29,29,NaN,1,,100,29
109,,NaN,NaN,,NaN,,,,NaN,,,,
110,56,NaN,NaN,,NaN,55,29,29,NaN,-1,,100,29
111,,NaN,NaN,,NaN,,,,NaN,,,,
112,56,NaN,NaN,,NaN,56,29,29,NaN,-1,,100,29
113,,NaN,NaN,,NaN,,,,NaN,,,,
114,57,NaN,NaN,,NaN,56,30,30,NaN,-1,,100,30
115,,NaN,NaN,,NaN,,,,NaN,,,,
116,57,NaN,NaN,,NaN,56,30,30,NaN,-1,,100,30
117,,NaN,NaN,,NaN,,,,NaN,,,,
118,56,NaN,NaN,,NaN,56,30,30,NaN,0,,100,30
119,,NaN,NaN,,NaN,,,,NaN,,,,
120,57,NaN,NaN,,NaN,56,30,30,NaN,0,,100,30
121,,NaN,NaN,,NaN,,,,NaN,,,,
122,56,NaN,NaN,,NaN,55,29,29,NaN,0,,100,29
123,,NaN,NaN,,NaN,,,,NaN,,,,
124,56,NaN,NaN,,NaN,55,29,29,NaN,0,,100,29
125,,NaN,NaN,,NaN,,,,NaN,,,,
126,56,NaN,NaN,,NaN,56,29,29,NaN,0,,100,29
127,,NaN,NaN,,NaN,,,,NaN,,,,
128,56,NaN,NaN,,NaN,55,29,29,NaN,0,,100,29
129,,NaN,NaN,,NaN,,,,NaN,,,,
130,56,NaN,NaN,,NaN,55,29,29,NaN,0,,100,29
131,,NaN,NaN,,NaN,,,,NaN,,,,
132,55,NaN,NaN,,NaN,55,29,29,NaN,0,,100,29
133,,NaN,NaN,,NaN,,,,NaN,,,,
134,55,NaN,NaN,,NaN,54,29,29,NaN,1,,100,29
135,,NaN,NaN,,NaN,,,,NaN,,,,
136,55,NaN,NaN,,NaN,54,29,29,NaN,1,,100,29
137,,NaN,NaN,,NaN,,,,NaN,,,,
138,55,NaN,NaN,,NaN,53,30,30,NaN,1,,100,30
139,,NaN,NaN,,NaN,,,,NaN,,,,
140,55,NaN,NaN,,NaN,53,30,30,NaN,1,,100,30
141,,NaN,NaN,,NaN,,,,NaN,,,,
142,55,NaN,NaN,,NaN,53,29,29,NaN,1,,100,29
143,,NaN,NaN,,NaN,,,,NaN,,,,
144,55,NaN,NaN,,NaN,53,29,29,NaN,1,,100,29
145,,NaN,NaN,,NaN,,,,NaN,,,,
146,,NaN,NaN,,NaN,53,29,29,NaN,1,,,29
147,,NaN,NaN,,NaN,,,,NaN,,,,
148,,NaN,NaN,,NaN,53,29,29,NaN,0,,,29
149,,NaN,NaN,,NaN,,,,NaN,,,,
150,,NaN,NaN,,NaN,53,29,29,NaN,0,,,29
151,,NaN,NaN,,NaN,,,,NaN,,,,
152,,NaN,NaN,,NaN,50,29,29,NaN,1,,,29
153,,NaN,NaN,,NaN,,,,NaN,,,,
154,,NaN,NaN,,NaN,49,29,29,NaN,1,,,29
155,,NaN,NaN,,NaN,,,,NaN,,,,
156,,NaN,NaN,,NaN,50,29,29,NaN,0,,,29
157,,NaN,NaN,,NaN,,,,NaN,,,,
158,54,NaN,NaN,,NaN,49,29,29,NaN,0,,100,29
159,,NaN,NaN,,NaN,,,,NaN,,,,
160,55,NaN,NaN,,NaN,54,29,29,NaN,1,,100,29
161,,NaN,NaN,,NaN,,,,NaN,,,,
162,54,NaN,NaN,,NaN,53,29,29,NaN,1,,100,29
163,,NaN,NaN,,NaN,,,,NaN,,,,
