time,Solar8000/CVP,Solar8000/ART_SBP,Solar8000/ART_MBP,SNUADC/CVP,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/ETCO2,SNUADC/ART,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_DBP,Solar8000/PLETH_HR,Solar8000/PLETH_SPO2
0,,,,NaN,NaN,NaN,,NaN,,,,,
1,,,,-495.6260070800781,-4.9562602043151855,-4.9562602043151855,,-498.6846008300781,,,,,
2,,,,-495.6240234375,-4.956240177154541,-4.956240177154541,,-498.6826477050781,,68,,,
3,,,,NaN,NaN,NaN,,NaN,,,,,
4,,,,NaN,NaN,NaN,,NaN,,68,,,
5,,,,NaN,NaN,NaN,,NaN,,,,,
6,,,,NaN,NaN,NaN,,NaN,,68,,,
7,,,,NaN,NaN,NaN,,NaN,,,,,
8,,,,NaN,NaN,NaN,,NaN,,68,,,
9,,,,NaN,NaN,NaN,,NaN,,,,,
10,,,,NaN,NaN,NaN,,NaN,,70,,,
11,,,,NaN,NaN,NaN,,NaN,,,,,
12,,,,NaN,NaN,NaN,,NaN,,71,,,
13,,,,NaN,NaN,NaN,,NaN,,,,,
14,,,,NaN,NaN,NaN,,NaN,,71,,,
15,,,,NaN,NaN,NaN,,NaN,,,,,
16,,,,NaN,NaN,NaN,,NaN,,75,,,
17,,,,NaN,NaN,NaN,,NaN,,,,,
18,,,,NaN,NaN,NaN,,NaN,,75,,,
19,,,,NaN,NaN,NaN,,NaN,,,,,
20,,,,NaN,NaN,NaN,,NaN,,75,,,
21,,,,NaN,NaN,NaN,,NaN,,,,,
22,,,,NaN,NaN,NaN,,NaN,,75,,,
23,,,,NaN,NaN,NaN,,NaN,,,,,
24,,,,NaN,NaN,NaN,,NaN,,76,,,
25,,,,NaN,NaN,NaN,,NaN,,,,,
26,,,,NaN,NaN,NaN,,NaN,,76,,,
27,,,,NaN,NaN,NaN,,NaN,,,,,
28,,,,NaN,NaN,NaN,,NaN,,77,,,
29,,,,NaN,NaN,NaN,,NaN,,,,,
30,,,,NaN,NaN,NaN,,NaN,,76,,,
31,,,,NaN,NaN,NaN,,NaN,,,,,
32,,,,NaN,NaN,NaN,,NaN,,64,,,
33,,,,NaN,NaN,NaN,,NaN,,,,,
34,,,,NaN,NaN,NaN,,NaN,,64,,,
35,,,,NaN,NaN,NaN,,NaN,,,,,
36,,,,NaN,NaN,NaN,,NaN,,63,,,
37,,,,NaN,NaN,NaN,,NaN,,,,,
38,,,,NaN,NaN,NaN,,NaN,,63,,,
39,,,,NaN,NaN,NaN,,NaN,,,,,
40,,,,NaN,NaN,NaN,,NaN,,70,,,
41,,,,NaN,NaN,NaN,,NaN,,,,,
42,,,,NaN,NaN,NaN,,NaN,,70,,,
43,,,,NaN,NaN,NaN,,NaN,,,,,
44,,,,NaN,NaN,NaN,,NaN,,68,,,
45,,,,NaN,NaN,NaN,,NaN,,,,,
46,,,,NaN,NaN,NaN,,NaN,,68,,,
47,,,,NaN,NaN,NaN,,NaN,,,,,
48,,,,NaN,NaN,NaN,,NaN,,68,,,
49,,,,NaN,NaN,NaN,,NaN,,,,,
50,,,,NaN,NaN,NaN,,NaN,,69,,,
51,,,,NaN,NaN,NaN,,NaN,,,,,
52,,,,NaN,NaN,NaN,,NaN,,68,,,
53,,,,NaN,NaN,NaN,,NaN,,,,,
54,,,,NaN,NaN,NaN,,NaN,,70,,,
55,,,,NaN,NaN,NaN,,NaN,,,,,
56,,,,NaN,NaN,NaN,,NaN,,69,,67,95
57,,,,NaN,NaN,NaN,,NaN,,,,,
58,,,,NaN,NaN,NaN,,NaN,,68,,67,95
59,,,,NaN,NaN,NaN,,NaN,,,,,
60,,,,NaN,NaN,NaN,,NaN,,67,,67,95
61,,,,NaN,NaN,NaN,,NaN,,,,,
62,,,,NaN,NaN,NaN,,NaN,,67,,67,95
63,,,,NaN,NaN,NaN,,NaN,,,,,
64,,,,NaN,NaN,NaN,,NaN,,68,,67,95
65,,,,NaN,NaN,NaN,,NaN,,,,,
66,,,,NaN,NaN,NaN,,NaN,,68,,67,95
67,,,,NaN,NaN,NaN,,NaN,,,,,
68,,,,NaN,NaN,NaN,,NaN,,70,,,
69,,,,NaN,NaN,NaN,,NaN,,,,,
70,,,,NaN,NaN,NaN,,NaN,,71,,,
71,,,,NaN,NaN,NaN,,NaN,,,,,
72,,,,NaN,NaN,NaN,,NaN,,72,,,
73,,,,NaN,NaN,NaN,,NaN,,,,,
74,,,,NaN,NaN,NaN,,NaN,,72,,,
75,,,,NaN,NaN,NaN,,NaN,,,,,
76,,,,NaN,NaN,NaN,,NaN,,71,,,
77,,,,NaN,NaN,NaN,,NaN,,,,,
78,,,,NaN,NaN,NaN,,NaN,,71,,,
79,,,,NaN,NaN,NaN,,NaN,,,,,
80,,,,NaN,NaN,NaN,,NaN,,71,,,
81,,,,NaN,NaN,NaN,,NaN,,,,,
82,,,,NaN,NaN,NaN,,NaN,,78,,,
83,,,,NaN,NaN,NaN,,NaN,,,,,
84,,,,NaN,NaN,NaN,,NaN,,78,,,
85,,,,NaN,NaN,NaN,,NaN,,,,,
86,,,,NaN,NaN,NaN,,NaN,,78,,,
87,,,,NaN,NaN,NaN,,NaN,,,,,
88,,,,NaN,NaN,NaN,,NaN,,78,,,
89,,,,NaN,NaN,NaN,,NaN,,,,,
90,,,,NaN,NaN,NaN,,NaN,,77,,,
91,,,,NaN,NaN,NaN,,NaN,,,,,
92,,,,NaN,NaN,NaN,,NaN,,77,,,
93,,,,NaN,NaN,NaN,,NaN,,,,,
94,,,,NaN,NaN,NaN,,NaN,,71,,,
95,,,,NaN,NaN,NaN,,NaN,,,,,
96,,,,NaN,NaN,NaN,,NaN,,71,,,
97,,,,NaN,NaN,NaN,,NaN,,,,,
98,,,,NaN,NaN,NaN,,NaN,,72,,,
99,,,,NaN,NaN,NaN,,NaN,,,,,
100,,,,NaN,NaN,NaN,,NaN,,72,,,
101,,,,NaN,NaN,NaN,,NaN,,,,,
102,,,,NaN,NaN,NaN,,NaN,,73,,,
103,,,,NaN,NaN,NaN,,NaN,,,,,
104,,,,NaN,NaN,NaN,,NaN,,73,,,
105,,,,NaN,NaN,NaN,,NaN,,,,,
106,,,,NaN,NaN,NaN,,NaN,,72,,,
107,,,,NaN,NaN,NaN,,NaN,,,,,
108,,,,NaN,NaN,NaN,,NaN,,72,,,
109,,,,NaN,NaN,NaN,,NaN,,,,,
110,,,,NaN,NaN,NaN,,NaN,,72,,,
111,,,,NaN,NaN,NaN,,NaN,,,,,
112,,,,NaN,NaN,NaN,,NaN,,73,,,
113,,,,NaN,NaN,NaN,,NaN,,,,,
114,0,,,NaN,NaN,NaN,,NaN,,73,,,
115,,,,NaN,NaN,NaN,,NaN,,,,,
116,0,0,0,NaN,NaN,NaN,,NaN,,72,0,,
117,,,,NaN,NaN,NaN,,NaN,,,,,
118,0,0,0,NaN,NaN,NaN,,NaN,,71,0,,
119,,,,NaN,NaN,NaN,,NaN,,,,,
120,0,0,0,NaN,NaN,NaN,,NaN,,70,0,,
121,,,,NaN,NaN,NaN,,NaN,,,,,
122,0,0,0,NaN,NaN,NaN,,NaN,,68,0,,
123,,,,NaN,NaN,NaN,,NaN,,,,,
124,0,0,0,NaN,NaN,NaN,,NaN,,65,0,,
125,,,,NaN,NaN,NaN,,NaN,,,,,
126,-2,0,0,NaN,NaN,NaN,,NaN,,66,0,,
127,,,,NaN,NaN,NaN,,NaN,,,,,
128,-2,1,0,NaN,NaN,NaN,,NaN,,66,-2,,
129,,,,NaN,NaN,NaN,,NaN,,,,,
130,-6,1,0,NaN,NaN,NaN,,NaN,,65,-2,,
131,,,,NaN,NaN,NaN,,NaN,,,,,
132,-6,-6,-6,NaN,NaN,NaN,,NaN,,68,-6,,
133,,,,NaN,NaN,NaN,,NaN,,,,,
134,-6,-6,-6,NaN,NaN,NaN,,NaN,,69,-6,,
135,,,,NaN,NaN,NaN,,NaN,,,,,
136,-6,-6,-6,NaN,NaN,NaN,,NaN,,69,-6,,
137,,,,NaN,NaN,NaN,,NaN,,,,,
138,-6,-6,-6,NaN,NaN,NaN,,NaN,,70,-6,,
139,,,,NaN,NaN,NaN,,NaN,,,,,
140,-6,-6,-6,NaN,NaN,NaN,,NaN,,70,-6,,
141,,,,NaN,NaN,NaN,,NaN,,,,,
142,-6,-6,-6,NaN,NaN,NaN,,NaN,,71,-6,,
143,,,,NaN,NaN,NaN,,NaN,,,,,
144,-6,-6,-6,NaN,NaN,NaN,,NaN,,70,-6,,
145,,,,NaN,NaN,NaN,,NaN,,,,,
146,-6,-6,-6,NaN,NaN,NaN,,NaN,,71,-6,,
147,,,,NaN,NaN,NaN,,NaN,,,,,
148,-6,-6,-6,NaN,NaN,NaN,,NaN,,71,-6,,
149,,,,NaN,NaN,NaN,,NaN,,,,,
150,-6,-6,-6,NaN,NaN,NaN,,NaN,,72,-6,,
151,,,,NaN,NaN,NaN,,NaN,,,,,
152,-6,-6,-6,NaN,NaN,NaN,,NaN,,70,-6,,
