time,Solar8000/ART_MBP,Solar8000/ART_DBP,Solar8000/HR,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,SNUADC/CVP,SNUADC/ECG_V5,Solar8000/ETCO2,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/PLETH_HR,SNUADC/ART,SNUADC/ECG_II
0,,,,,,NaN,NaN,,,,,NaN,NaN
1,,,,,,-495.6260070800781,-4.9562602043151855,,,,,-491.88665771484375,-4.9562602043151855
2,276,276,78,80,276,-495.6240234375,-4.956240177154541,0,,,124,-491.88470458984375,-4.956240177154541
3,,,,,,NaN,NaN,,,,,NaN,NaN
4,276,276,79,79,276,NaN,NaN,0,,,126,NaN,NaN
5,,,,,,NaN,NaN,,,,,NaN,NaN
6,276,276,78,79,276,NaN,NaN,0,,,126,NaN,NaN
7,,,,,,NaN,NaN,,,,,NaN,NaN
8,276,276,78,79,276,NaN,NaN,0,,,126,NaN,NaN
9,,,,,,NaN,NaN,,,,,NaN,NaN
10,275,275,77,80,275,NaN,NaN,0,,,122,NaN,NaN
11,,,,,,NaN,NaN,,,,,NaN,NaN
12,275,275,77,91,275,NaN,NaN,0,,,107,NaN,NaN
13,,,,,,NaN,NaN,,,,,NaN,NaN
14,275,275,78,96,275,NaN,NaN,0,,,96,NaN,NaN
15,,,,,,NaN,NaN,,,,,NaN,NaN
16,275,275,78,97,275,NaN,NaN,0,,,84,NaN,NaN
17,,,,,,NaN,NaN,,,,,NaN,NaN
18,275,275,78,97,275,NaN,NaN,0,,,78,NaN,NaN
19,,,,,,NaN,NaN,,,,,NaN,NaN
20,275,275,78,97,275,NaN,NaN,0,,,79,NaN,NaN
21,,,,,,NaN,NaN,,,,,NaN,NaN
22,275,275,78,97,275,NaN,NaN,0,,,79,NaN,NaN
23,,,,,,NaN,NaN,,,,,NaN,NaN
24,275,275,79,97,275,NaN,NaN,0,,,79,NaN,NaN
25,,,,,,NaN,NaN,,,,,NaN,NaN
26,275,275,78,,275,NaN,NaN,0,,,,NaN,NaN
27,,,,,,NaN,NaN,,,,,NaN,NaN
28,275,275,79,,275,NaN,NaN,0,,,,NaN,NaN
29,,,,,,NaN,NaN,,,,,NaN,NaN
30,275,275,78,,275,NaN,NaN,0,,,,NaN,NaN
31,,,,,,NaN,NaN,,,,,NaN,NaN
32,275,275,80,,275,NaN,NaN,0,,,,NaN,NaN
33,,,,,,NaN,NaN,,,,,NaN,NaN
34,275,275,80,,275,NaN,NaN,0,,,,NaN,NaN
35,,,,,,NaN,NaN,,,,,NaN,NaN
36,275,275,79,96,275,NaN,NaN,0,,,79,NaN,NaN
37,,,,,,NaN,NaN,,,,,NaN,NaN
38,275,275,79,97,275,NaN,NaN,0,,,80,NaN,NaN
39,,,,,,NaN,NaN,,,,,NaN,NaN
40,275,275,79,97,275,NaN,NaN,0,,,79,NaN,NaN
41,,,,,,NaN,NaN,,,,,NaN,NaN
42,275,275,78,97,275,NaN,NaN,0,,,79,NaN,NaN
43,,,,,,NaN,NaN,,,,,NaN,NaN
44,275,275,77,97,275,NaN,NaN,0,,,78,NaN,NaN
45,,,,,,NaN,NaN,,,,,NaN,NaN
46,275,275,77,97,275,NaN,NaN,0,,,78,NaN,NaN
47,,,,,,NaN,NaN,,,,,NaN,NaN
48,10,10,77,97,10,NaN,NaN,0,,,78,NaN,NaN
49,,,,,,NaN,NaN,,,,,NaN,NaN
50,10,10,76,97,10,NaN,NaN,0,,0,77,NaN,NaN
51,,,,,,NaN,NaN,,,,,NaN,NaN
52,0,0,77,97,0,NaN,NaN,0,,0,77,NaN,NaN
53,,,,,,NaN,NaN,,,,,NaN,NaN
54,0,0,76,97,0,NaN,NaN,0,,0,76,NaN,NaN
55,,,,,,NaN,NaN,,,,,NaN,NaN
56,0,0,76,97,0,NaN,NaN,0,,0,76,NaN,NaN
57,,,,,,NaN,NaN,,,,,NaN,NaN
58,-1,-11,75,98,7,NaN,NaN,0,,0,76,NaN,NaN
59,,,,,,NaN,NaN,,,,,NaN,NaN
60,-1,-11,75,98,7,NaN,NaN,0,,3,76,NaN,NaN
61,,,,,,NaN,NaN,,,,,NaN,NaN
62,0,0,75,98,0,NaN,NaN,0,,3,76,NaN,NaN
63,,,,,,NaN,NaN,,,,,NaN,NaN
64,0,0,75,98,0,NaN,NaN,0,,8,76,NaN,NaN
65,,,,,,NaN,NaN,,,,,NaN,NaN
66,0,0,76,98,0,NaN,NaN,0,,8,76,NaN,NaN
67,,,,,,NaN,NaN,,,,,NaN,NaN
68,0,0,75,98,0,NaN,NaN,0,,8,76,NaN,NaN
69,,,,,,NaN,NaN,,,,,NaN,NaN
70,0,0,76,98,0,NaN,NaN,0,,8,77,NaN,NaN
71,,,,,,NaN,NaN,,,,,NaN,NaN
72,0,0,77,98,0,NaN,NaN,0,,7,77,NaN,NaN
73,,,,,,NaN,NaN,,,,,NaN,NaN
74,0,0,77,98,0,NaN,NaN,0,,7,77,NaN,NaN
75,,,,,,NaN,NaN,,,,,NaN,NaN
76,0,0,77,98,0,NaN,NaN,0,,8,78,NaN,NaN
77,,,,,,NaN,NaN,,,,,NaN,NaN
78,0,0,77,98,0,NaN,NaN,0,,8,77,NaN,NaN
79,,,,,,NaN,NaN,,,,,NaN,NaN
80,0,0,76,97,0,NaN,NaN,0,,8,77,NaN,NaN
81,,,,,,NaN,NaN,,,,,NaN,NaN
82,0,0,76,97,0,NaN,NaN,0,,8,77,NaN,NaN
83,,,,,,NaN,NaN,,,,,NaN,NaN
84,0,0,75,97,0,NaN,NaN,0,,8,76,NaN,NaN
85,,,,,,NaN,NaN,,,,,NaN,NaN
86,0,0,75,97,0,NaN,NaN,0,,8,75,NaN,NaN
87,,,,,,NaN,NaN,,,,,NaN,NaN
88,0,0,74,97,0,NaN,NaN,0,,8,75,NaN,NaN
89,,,,,,NaN,NaN,,,,,NaN,NaN
90,0,0,74,97,0,NaN,NaN,0,,8,75,NaN,NaN
91,,,,,,NaN,NaN,,,,,NaN,NaN
92,0,0,74,97,0,NaN,NaN,0,,8,75,NaN,NaN
93,,,,,,NaN,NaN,,,,,NaN,NaN
94,0,0,74,97,0,NaN,NaN,0,,8,74,NaN,NaN
95,,,,,,NaN,NaN,,,,,NaN,NaN
96,0,0,73,97,0,NaN,NaN,0,,8,74,NaN,NaN
97,,,,,,NaN,NaN,,,,,NaN,NaN
98,0,0,74,97,0,NaN,NaN,0,,8,75,NaN,NaN
