time,Solar8000/ART_DBP,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/HR,SNUADC/CVP,Solar8000/ART_SBP,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/ETCO2,Solar8000/CVP
0,,,NaN,,NaN,,NaN,NaN,,,,,
1,,,-496.78717041015625,,-495.6260070800781,,-4.9562602043151855,-4.9562602043151855,,,,,
2,,89,-496.7851867675781,78,-495.6240234375,,-4.956240177154541,-4.956240177154541,,,90,,
3,,,NaN,,NaN,,NaN,NaN,,,,,
4,,94,NaN,78,NaN,,NaN,NaN,,,91,,
5,,,NaN,,NaN,,NaN,NaN,,,,,
6,,92,NaN,78,NaN,,NaN,NaN,,,92,,
7,,,NaN,,NaN,,NaN,NaN,,,,,
8,,89,NaN,79,NaN,,NaN,NaN,,,94,,
9,,,NaN,,NaN,,NaN,NaN,,,,,
10,,92,NaN,81,NaN,,NaN,NaN,,,96,,
11,,,NaN,,NaN,,NaN,NaN,,,,,
12,,91,NaN,81,NaN,,NaN,NaN,,,97,,
13,,,NaN,,NaN,,NaN,NaN,,,,,
14,,93,NaN,81,NaN,,NaN,NaN,,,97,,
15,,,NaN,,NaN,,NaN,NaN,,,,,
16,,,NaN,,NaN,,NaN,NaN,,,,,
17,,88,NaN,81,NaN,,NaN,NaN,,,99,,
18,,,NaN,,NaN,,NaN,NaN,,,,,
19,,82,NaN,81,NaN,,NaN,NaN,,,100,,
20,,,NaN,,NaN,,NaN,NaN,,,,,
21,,79,NaN,81,NaN,,NaN,NaN,,,100,,
22,,,NaN,,NaN,,NaN,NaN,,,,,
23,,78,NaN,80,NaN,,NaN,NaN,,,100,,
24,,,NaN,,NaN,,NaN,NaN,,,,,
25,,78,NaN,79,NaN,,NaN,NaN,,,100,,
26,,,NaN,,NaN,,NaN,NaN,,,,,
27,,78,NaN,78,NaN,,NaN,NaN,,,100,,
28,,,NaN,,NaN,,NaN,NaN,,,,,
29,,77,NaN,76,NaN,,NaN,NaN,,,100,,
30,,,NaN,,NaN,,NaN,NaN,,,,,
31,,76,NaN,75,NaN,,NaN,NaN,,,100,,
32,,,NaN,,NaN,,NaN,NaN,,,,,
33,,75,NaN,74,NaN,,NaN,NaN,,,100,,
34,,,NaN,,NaN,,NaN,NaN,,,,,
35,,75,NaN,81,NaN,,NaN,NaN,,,100,,
36,,,NaN,,NaN,,NaN,NaN,,,,,
37,,75,NaN,80,NaN,,NaN,NaN,,,100,,
38,,,NaN,,NaN,,NaN,NaN,,,,,
39,,75,NaN,80,NaN,,NaN,NaN,,,100,,
