time,SNUADC/ART,Solar8000/PLETH_HR,SNUADC/ECG_V5,Solar8000/PLETH_SPO2,SNUADC/ECG_II,Solar8000/ETCO2,Solar8000/ART_DBP,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/HR,Solar8000/CVP,Solar8000/ART_SBP,Solar8000/RR_CO2
0,NaN,,NaN,,NaN,,,,NaN,,,,
1,-491.88665771484375,,-4.9562602043151855,,-4.9562602043151855,,,,-495.6260070800781,,,,
2,-491.88470458984375,121,-4.956240177154541,74,-4.956240177154541,,,,-495.6240234375,98,,,
3,NaN,,NaN,,NaN,,,,NaN,,,,
4,NaN,125,NaN,75,NaN,,,,NaN,98,,,
5,NaN,,NaN,,NaN,,,,NaN,,,,
6,NaN,116,NaN,80,NaN,,,,NaN,98,,,
7,NaN,,NaN,,NaN,,,,NaN,,,,
8,NaN,108,NaN,85,NaN,,,,NaN,97,,,
9,NaN,,NaN,,NaN,,,,NaN,,,,
10,NaN,105,NaN,85,NaN,,,,NaN,97,,,
11,NaN,,NaN,,NaN,,,,NaN,,,,
12,NaN,103,NaN,87,NaN,,,,NaN,97,,,
13,NaN,,NaN,,NaN,,,,NaN,,,,
14,NaN,99,NaN,97,NaN,,,,NaN,96,,,
15,NaN,,NaN,,NaN,,,,NaN,,,,
16,NaN,99,NaN,98,NaN,,,,NaN,97,,,
17,NaN,,NaN,,NaN,,,,NaN,,,,
18,NaN,97,NaN,98,NaN,,,,NaN,97,,,
19,NaN,,NaN,,NaN,,,,NaN,,,,
20,NaN,97,NaN,98,NaN,,,,NaN,97,,,
21,NaN,,NaN,,NaN,,,,NaN,,,,
22,NaN,97,NaN,98,NaN,0,,,NaN,97,,,
23,NaN,,NaN,,NaN,,,,NaN,,,,
24,NaN,98,NaN,99,NaN,0,,,NaN,97,,,
25,NaN,,NaN,,NaN,,,,NaN,,,,
26,NaN,97,NaN,99,NaN,0,,,NaN,97,,,
27,NaN,,NaN,,NaN,,,,NaN,,,,
28,NaN,97,NaN,98,NaN,0,,,NaN,97,,,
29,NaN,,NaN,,NaN,,,,NaN,,,,
30,NaN,96,NaN,98,NaN,0,,,NaN,97,,,
31,NaN,,NaN,,NaN,,,,NaN,,,,
32,NaN,97,NaN,98,NaN,0,,,NaN,97,,,
33,NaN,,NaN,,NaN,,,,NaN,,,,
34,NaN,98,NaN,99,NaN,0,,,NaN,98,,,
35,NaN,,NaN,,NaN,,,,NaN,,,,
36,NaN,99,NaN,98,NaN,0,,,NaN,98,,,
37,NaN,,NaN,,NaN,,,,NaN,,,,
38,NaN,99,NaN,98,NaN,0,,,NaN,98,,,
39,NaN,,NaN,,NaN,,,,NaN,,,,
40,NaN,98,NaN,98,NaN,0,,,NaN,97,,,
41,NaN,,NaN,,NaN,,,,NaN,,,,
42,NaN,97,NaN,99,NaN,0,,,NaN,97,,,
43,NaN,,NaN,,NaN,,,,NaN,,,,
44,NaN,96,NaN,99,NaN,0,,,NaN,97,,,
