time,Solar8000/ART_MBP,SNUADC/ECG_V5,SNUADC/CVP,Solar8000/ART_SBP,Solar8000/PLETH_SPO2,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/CVP,Solar8000/RR_CO2,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ETCO2,Solar8000/HR
0,,NaN,NaN,,,,NaN,,,,NaN,,
1,,-4.9562602043151855,-495.6260070800781,,,,-4.9562602043151855,,,,-498.6846008300781,,
2,,-4.956240177154541,-495.6240234375,,,,-4.956240177154541,,,,-498.6826477050781,,
3,0,NaN,NaN,0,100,0,NaN,1,,97,NaN,,97
4,,NaN,NaN,,,,NaN,,,,NaN,,
5,0,NaN,NaN,0,100,0,NaN,1,,97,NaN,,97
6,,NaN,NaN,,,,NaN,,,,NaN,,
7,0,NaN,NaN,0,100,0,NaN,1,,97,NaN,,97
8,,NaN,NaN,,,,NaN,,,,NaN,,
9,0,NaN,NaN,0,99,0,NaN,0,,96,NaN,,96
10,,NaN,NaN,,,,NaN,,,,NaN,,
11,0,NaN,NaN,0,99,0,NaN,0,,96,NaN,,96
12,,NaN,NaN,,,,NaN,,,,NaN,,
13,0,NaN,NaN,0,98,0,NaN,0,,96,NaN,,96
14,,NaN,NaN,,,,NaN,,,,NaN,,
15,0,NaN,NaN,0,99,0,NaN,0,,96,NaN,,96
16,,NaN,NaN,,,,NaN,,,,NaN,,
17,0,NaN,NaN,0,100,0,NaN,0,,96,NaN,,96
18,,NaN,NaN,,,,NaN,,,,NaN,,
19,0,NaN,NaN,0,100,0,NaN,0,,96,NaN,,96
20,,NaN,NaN,,,,NaN,,,,NaN,,
21,0,NaN,NaN,0,100,0,NaN,0,,97,NaN,,96
22,,NaN,NaN,,,,NaN,,,,NaN,,
23,0,NaN,NaN,0,100,0,NaN,0,,96,NaN,,96
24,,NaN,NaN,,,,NaN,,,,NaN,,
25,0,NaN,NaN,0,100,0,NaN,0,,97,NaN,,96
26,,NaN,NaN,,,,NaN,,,,NaN,,
27,1,NaN,NaN,1,100,1,NaN,0,,97,NaN,,96
28,,NaN,NaN,,,,NaN,,,,NaN,,
29,1,NaN,NaN,1,100,1,NaN,0,,97,NaN,,96
30,,NaN,NaN,,,,NaN,,,,NaN,,
31,1,NaN,NaN,1,100,1,NaN,0,,97,NaN,,97
32,,NaN,NaN,,,,NaN,,,,NaN,,
33,1,NaN,NaN,1,100,1,NaN,0,,98,NaN,,97
34,,NaN,NaN,,,,NaN,,,,NaN,,
35,1,NaN,NaN,1,100,1,NaN,0,,99,NaN,,97
36,,NaN,NaN,,,,NaN,,,,NaN,,
37,1,NaN,NaN,1,100,1,NaN,0,,98,NaN,,98
38,,NaN,NaN,,,,NaN,,,,NaN,,
39,0,NaN,NaN,0,100,0,NaN,0,,98,NaN,,98
40,,NaN,NaN,,,,NaN,,,,NaN,,
41,0,NaN,NaN,0,100,0,NaN,0,,97,NaN,,97
42,,NaN,NaN,,,,NaN,,,,NaN,,
43,0,NaN,NaN,0,100,0,NaN,0,,96,NaN,,96
44,,NaN,NaN,,,,NaN,,,,NaN,,
45,0,NaN,NaN,0,100,0,NaN,0,,96,NaN,,96
46,,NaN,NaN,,,,NaN,,,,NaN,,
47,0,NaN,NaN,0,100,0,NaN,0,,95,NaN,,95
48,,NaN,NaN,,,,NaN,,,,NaN,,
49,0,NaN,NaN,0,100,0,NaN,0,,95,NaN,,95
50,,NaN,NaN,,,,NaN,,,,NaN,,
51,0,NaN,NaN,0,100,0,NaN,0,,95,NaN,,95
52,,NaN,NaN,,,,NaN,,,,NaN,,
