time,Solar8000/ART_MBP,Solar8000/HR,Solar8000/PLETH_HR,Solar8000/ART_DBP,Solar8000/PLETH_SPO2,Solar8000/RR_CO2,SNUADC/CVP,SNUADC/ECG_II,Solar8000/ETCO2,Solar8000/ART_SBP,SNUADC/ART,Solar8000/CVP,SNUADC/ECG_V5
0,,,,,,,NaN,NaN,,,NaN,,NaN
1,1,108,,1,,,-495.6260070800781,-4.9562602043151855,,1,-496.78717041015625,,-4.9562602043151855
2,,,,,,,-495.6240234375,-4.956240177154541,,,-496.7851867675781,,-4.956240177154541
3,1,108,,1,,,NaN,NaN,,1,NaN,,NaN
4,,,,,,,NaN,NaN,,,NaN,,NaN
5,1,108,,1,,,NaN,NaN,,1,NaN,,NaN
6,,,,,,,NaN,NaN,,,NaN,,NaN
7,1,109,,1,,,NaN,NaN,,1,NaN,,NaN
8,,,,,,,NaN,NaN,,,NaN,,NaN
9,1,109,,1,,,NaN,NaN,,1,NaN,,NaN
10,,,,,,,NaN,NaN,,,NaN,,NaN
11,1,109,,1,,,NaN,NaN,,1,NaN,,NaN
12,,,,,,,NaN,NaN,,,NaN,,NaN
13,1,108,,1,,,NaN,NaN,,1,NaN,,NaN
14,,,,,,,NaN,NaN,,,NaN,,NaN
15,1,109,,1,,,NaN,NaN,,1,NaN,,NaN
16,,,,,,,NaN,NaN,,,NaN,,NaN
17,1,109,,1,,,NaN,NaN,,1,NaN,,NaN
18,,,,,,,NaN,NaN,,,NaN,,NaN
19,1,109,,1,,,NaN,NaN,,1,NaN,,NaN
20,,,,,,,NaN,NaN,,,NaN,,NaN
21,1,109,,1,,,NaN,NaN,,1,NaN,,NaN
22,,,,,,,NaN,NaN,,,NaN,,NaN
23,1,108,,1,,,NaN,NaN,,1,NaN,,NaN
24,,,,,,,NaN,NaN,,,NaN,,NaN
25,1,108,,1,,,NaN,NaN,,1,NaN,,NaN
26,,,,,,,NaN,NaN,,,NaN,,NaN
27,1,109,,1,,,NaN,NaN,,1,NaN,,NaN
28,,,,,,,NaN,NaN,,,NaN,,NaN
29,1,109,,1,,,NaN,NaN,,1,NaN,,NaN
30,,,,,,,NaN,NaN,,,NaN,,NaN
31,1,109,,1,,,NaN,NaN,,1,NaN,,NaN
32,,,,,,,NaN,NaN,,,NaN,,NaN
33,1,108,,1,,,NaN,NaN,,1,NaN,,NaN
34,,,,,,,NaN,NaN,,,NaN,,NaN
35,1,108,,1,,,NaN,NaN,,1,NaN,,NaN
36,,,,,,,NaN,NaN,,,NaN,,NaN
37,1,108,,1,,,NaN,NaN,,1,NaN,,NaN
38,,,,,,,NaN,NaN,,,NaN,,NaN
39,1,108,,1,,,NaN,NaN,,1,NaN,,NaN
40,,,,,,,NaN,NaN,,,NaN,,NaN
41,1,107,,1,,,NaN,NaN,,1,NaN,,NaN
42,,,,,,,NaN,NaN,,,NaN,,NaN
43,1,107,,1,,,NaN,NaN,,1,NaN,,NaN
44,,,,,,,NaN,NaN,,,NaN,,NaN
45,1,107,67,1,96,,NaN,NaN,,1,NaN,,NaN
46,,,,,,,NaN,NaN,,,NaN,,NaN
47,1,108,108,1,97,,NaN,NaN,,1,NaN,,NaN
48,,,,,,,NaN,NaN,,,NaN,,NaN
49,1,107,108,1,97,,NaN,NaN,,1,NaN,,NaN
50,,,,,,,NaN,NaN,,,NaN,,NaN
51,1,108,108,1,96,,NaN,NaN,,1,NaN,,NaN
52,,,,,,,NaN,NaN,,,NaN,,NaN
53,1,108,108,1,96,,NaN,NaN,,1,NaN,,NaN
54,,,,,,,NaN,NaN,,,NaN,,NaN
55,1,108,108,1,97,,NaN,NaN,,1,NaN,,NaN
56,,,,,,,NaN,NaN,,,NaN,,NaN
57,1,108,108,1,96,,NaN,NaN,,1,NaN,,NaN
58,,,,,,,NaN,NaN,,,NaN,,NaN
59,1,108,108,1,96,,NaN,NaN,,1,NaN,,NaN
60,,,,,,,NaN,NaN,,,NaN,,NaN
61,1,107,108,1,96,,NaN,NaN,,1,NaN,,NaN
62,,,,,,,NaN,NaN,,,NaN,,NaN
63,1,108,108,1,96,,NaN,NaN,,1,NaN,,NaN
64,,,,,,,NaN,NaN,,,NaN,,NaN
65,1,108,109,1,96,,NaN,NaN,,1,NaN,,NaN
66,,,,,,,NaN,NaN,,,NaN,,NaN
67,1,108,109,1,96,,NaN,NaN,,1,NaN,,NaN
68,,,,,,,NaN,NaN,,,NaN,,NaN
69,1,109,109,1,95,,NaN,NaN,,1,NaN,,NaN
70,,,,,,,NaN,NaN,,,NaN,,NaN
71,1,109,109,1,95,,NaN,NaN,,1,NaN,,NaN
72,,,,,,,NaN,NaN,,,NaN,,NaN
73,1,109,109,1,95,,NaN,NaN,,1,NaN,,NaN
74,,,,,,,NaN,NaN,,,NaN,,NaN
75,1,109,109,1,95,,NaN,NaN,,1,NaN,,NaN
76,,,,,,,NaN,NaN,,,NaN,,NaN
77,1,108,109,1,95,,NaN,NaN,,1,NaN,,NaN
78,,,,,,,NaN,NaN,,,NaN,,NaN
79,1,108,109,1,95,,NaN,NaN,,1,NaN,,NaN
80,,,,,,,NaN,NaN,,,NaN,,NaN
81,1,108,108,1,95,,NaN,NaN,,1,NaN,,NaN
82,,,,,,,NaN,NaN,,,NaN,,NaN
83,1,108,108,1,94,,NaN,NaN,,1,NaN,,NaN
84,,,,,,,NaN,NaN,,,NaN,,NaN
85,1,108,108,1,93,,NaN,NaN,,1,NaN,,NaN
86,,,,,,,NaN,NaN,,,NaN,,NaN
87,1,108,108,1,93,,NaN,NaN,,1,NaN,,NaN
88,,,,,,,NaN,NaN,,,NaN,,NaN
89,1,108,108,1,93,,NaN,NaN,,1,NaN,,NaN
90,,,,,,,NaN,NaN,,,NaN,,NaN
91,1,108,109,1,93,,NaN,NaN,,1,NaN,,NaN
92,,,,,,,NaN,NaN,,,NaN,,NaN
93,1,109,110,1,94,,NaN,NaN,,1,NaN,,NaN
94,,,,,,,NaN,NaN,,,NaN,,NaN
95,0,110,111,0,95,,NaN,NaN,,0,NaN,,NaN
96,,,,,,,NaN,NaN,,,NaN,,NaN
97,0,111,111,0,96,,NaN,NaN,,0,NaN,,NaN
98,,,,,,,NaN,NaN,,,NaN,,NaN
99,0,112,113,0,97,,NaN,NaN,,0,NaN,,NaN
100,,,,,,,NaN,NaN,,,NaN,,NaN
101,0,113,113,0,97,,NaN,NaN,,0,NaN,,NaN
102,,,,,,,NaN,NaN,,,NaN,,NaN
103,-2,113,114,-24,98,,NaN,NaN,,4,NaN,,NaN
104,,,,,,,NaN,NaN,,,NaN,,NaN
105,-2,114,114,-24,99,,NaN,NaN,,4,NaN,,NaN
106,,,,,,,NaN,NaN,,,NaN,,NaN
107,-12,114,114,-12,99,,NaN,NaN,,-12,NaN,,NaN
108,,,,,,,NaN,NaN,,,NaN,,NaN
109,-12,114,114,-12,100,,NaN,NaN,,-12,NaN,,NaN
110,,,,,,,NaN,NaN,,,NaN,,NaN
111,-12,114,115,-12,100,,NaN,NaN,,-12,NaN,,NaN
112,,,,,,,NaN,NaN,,,NaN,,NaN
113,-12,114,115,-12,100,,NaN,NaN,,-12,NaN,,NaN
114,,,,,,,NaN,NaN,,,NaN,,NaN
115,-12,115,115,-12,100,,NaN,NaN,,-12,NaN,,NaN
116,,,,,,,NaN,NaN,,,NaN,,NaN
117,-12,115,116,-14,100,,NaN,NaN,,-8,NaN,,NaN
118,,,,,,,NaN,NaN,,,NaN,,NaN
119,-12,116,116,-14,100,,NaN,NaN,,-8,NaN,,NaN
120,,,,,,,NaN,NaN,,,NaN,,NaN
121,-12,116,117,-12,100,,NaN,NaN,,-12,NaN,,NaN
122,,,,,,,NaN,NaN,,,NaN,,NaN
123,-12,117,117,-12,100,,NaN,NaN,,-12,NaN,,NaN
124,,,,,,,NaN,NaN,,,NaN,,NaN
125,-12,117,117,-12,100,,NaN,NaN,,-12,NaN,,NaN
126,,,,,,,NaN,NaN,,,NaN,,NaN
127,-12,117,118,-16,100,,NaN,NaN,,-10,NaN,,NaN
128,,,,,,,NaN,NaN,,,NaN,,NaN
129,-12,117,118,-16,100,,NaN,NaN,,-10,NaN,,NaN
130,,,,,,,NaN,NaN,,,NaN,,NaN
131,-13,117,118,-17,100,,NaN,NaN,,-10,NaN,,NaN
132,,,,,,,NaN,NaN,,,NaN,,NaN
133,-12,118,118,,99,,NaN,NaN,,,NaN,,NaN
134,,,,,,,NaN,NaN,,,NaN,,NaN
135,-12,118,119,,99,,NaN,NaN,,,NaN,,NaN
136,,,,,,,NaN,NaN,,,NaN,,NaN
137,-12,119,119,,99,,NaN,NaN,,,NaN,,NaN
138,,,,,,,NaN,NaN,,,NaN,,NaN
139,-12,119,119,,99,,NaN,NaN,,,NaN,,NaN
140,,,,,,,NaN,NaN,,,NaN,,NaN
141,-12,119,120,,99,,NaN,NaN,,,NaN,,NaN
142,,,,,,,NaN,NaN,,,NaN,,NaN
143,-12,119,120,,99,,NaN,NaN,,,NaN,,NaN
144,,,,,,,NaN,NaN,,,NaN,,NaN
145,-12,119,120,-19,99,,NaN,NaN,,-5,NaN,,NaN
146,,,,,,,NaN,NaN,,,NaN,,NaN
147,-12,119,120,-19,99,,NaN,NaN,,-5,NaN,0,NaN
148,,,,,,,NaN,NaN,,,NaN,,NaN
149,-12,120,120,-15,100,,NaN,NaN,,-11,NaN,0,NaN
150,,,,,,,NaN,NaN,,,NaN,,NaN
151,-12,119,120,-15,100,,NaN,NaN,,-11,NaN,-6,NaN
152,,,,,,,NaN,NaN,,,NaN,,NaN
153,-12,119,120,-12,100,,NaN,NaN,,-12,NaN,-6,NaN
154,,,,,,,NaN,NaN,,,NaN,,NaN
155,-12,119,120,-12,100,,NaN,NaN,,-12,NaN,-14,NaN
156,,,,,,,NaN,NaN,,,NaN,,NaN
157,-12,119,120,-12,100,,NaN,NaN,,-12,NaN,-14,NaN
158,,,,,,,NaN,NaN,,,NaN,,NaN
159,-12,119,120,-12,100,,NaN,NaN,,-12,NaN,-14,NaN
160,,,,,,,NaN,NaN,,,NaN,,NaN
161,-12,119,119,-12,100,,NaN,NaN,,-12,NaN,-14,NaN
162,,,,,,,NaN,NaN,,,NaN,,NaN
163,-12,119,120,-12,100,,NaN,NaN,,-12,NaN,-14,NaN
164,,,,,,,NaN,NaN,,,NaN,,NaN
165,-12,119,120,-12,100,,NaN,NaN,,-12,NaN,-14,NaN
166,,,,,,,NaN,NaN,,,NaN,,NaN
167,-12,119,120,-12,100,,NaN,NaN,,-12,NaN,-14,NaN
