time,Solar8000/ART_MBP,Solar8000/CVP,Solar8000/ETCO2,Solar8000/RR_CO2,Solar8000/HR,SNUADC/ECG_II,SNUADC/CVP,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/PLETH_SPO2,SNUADC/ART,Solar8000/PLETH_HR,Solar8000/ART_SBP
0,,,,,,NaN,NaN,,NaN,,NaN,,
1,,,,,,-4.9562602043151855,-495.6260070800781,,-4.9562602043151855,,-499.346923828125,,
2,,,,,,-4.956240177154541,-495.6240234375,,-4.956240177154541,,-499.344970703125,,
3,-2,-6,0,,61,NaN,NaN,,NaN,100,NaN,63,
4,,,,,,NaN,NaN,,NaN,,NaN,,
5,-2,-6,0,,63,NaN,NaN,-2,NaN,100,NaN,63,-2
6,,,,,,NaN,NaN,,NaN,,NaN,,
7,-2,-6,0,,63,NaN,NaN,-2,NaN,100,NaN,64,-2
8,,,,,,NaN,NaN,,NaN,,NaN,,
9,-2,-6,0,,63,NaN,NaN,-2,NaN,100,NaN,63,-2
10,,,,,,NaN,NaN,,NaN,,NaN,,
11,-2,-6,0,,63,NaN,NaN,-2,NaN,100,NaN,64,-2
12,,,,,,NaN,NaN,,NaN,,NaN,,
13,-2,-7,0,,62,NaN,NaN,-2,NaN,100,NaN,63,-2
14,,,,,,NaN,NaN,,NaN,,NaN,,
15,-2,-7,0,,61,NaN,NaN,-2,NaN,100,NaN,63,-2
16,,,,,,NaN,NaN,,NaN,,NaN,,
17,-2,-7,0,,60,NaN,NaN,-2,NaN,100,NaN,63,-2
18,,,,,,NaN,NaN,,NaN,,NaN,,
19,-1,-7,0,,60,NaN,NaN,-1,NaN,100,NaN,63,-1
20,,,,,,NaN,NaN,,NaN,,NaN,,
21,-1,-7,0,,58,NaN,NaN,-1,NaN,100,NaN,63,-1
22,,,,,,NaN,NaN,,NaN,,NaN,,
23,-3,-7,0,,57,NaN,NaN,-3,NaN,100,NaN,63,-3
24,,,,,,NaN,NaN,,NaN,,NaN,,
25,-3,-7,0,,57,NaN,NaN,-5,NaN,100,NaN,63,-2
26,,,,,,NaN,NaN,,NaN,,NaN,,
27,-3,-7,0,,56,NaN,NaN,-14,NaN,,NaN,,8
28,,,,,,NaN,NaN,,NaN,,NaN,,
29,-3,-7,0,,56,NaN,NaN,-7,NaN,,NaN,,1
30,,,,,,NaN,NaN,,NaN,,NaN,,
31,-3,-7,0,,56,NaN,NaN,-7,NaN,,NaN,,-1
32,,,,,,NaN,NaN,,NaN,,NaN,,
33,-3,-7,0,,55,NaN,NaN,-7,NaN,,NaN,,0
34,,,,,,NaN,NaN,,NaN,,NaN,,
35,-3,-7,0,,55,NaN,NaN,-7,NaN,100,NaN,60,0
36,,,,,,NaN,NaN,,NaN,,NaN,,
37,-3,-7,0,,55,NaN,NaN,-3,NaN,100,NaN,60,-3
38,,,,,,NaN,NaN,,NaN,,NaN,,
39,-3,-8,0,,55,NaN,NaN,-3,NaN,100,NaN,60,-3
40,,,,,,NaN,NaN,,NaN,,NaN,,
41,-2,-8,0,,55,NaN,NaN,-2,NaN,100,NaN,60,-2
42,,,,,,NaN,NaN,,NaN,,NaN,,
43,-3,-8,0,,56,NaN,NaN,-5,NaN,100,NaN,59,0
44,,,,,,NaN,NaN,,NaN,,NaN,,
45,-3,-8,0,,55,NaN,NaN,-6,NaN,100,NaN,58,0
46,,,,,,NaN,NaN,,NaN,,NaN,,
47,-3,-8,0,,55,NaN,NaN,-5,NaN,100,NaN,57,0
48,,,,,,NaN,NaN,,NaN,,NaN,,
49,-3,-8,0,,55,NaN,NaN,-5,NaN,100,NaN,57,0
50,,,,,,NaN,NaN,,NaN,,NaN,,
51,-3,-9,0,,55,NaN,NaN,-3,NaN,100,NaN,57,-3
52,,,,,,NaN,NaN,,NaN,,NaN,,
53,-4,-9,0,,55,NaN,NaN,-6,NaN,100,NaN,57,-2
54,,,,,,NaN,NaN,,NaN,,NaN,,
55,-4,-8,0,,58,NaN,NaN,-7,NaN,100,NaN,57,1
56,,,,,,NaN,NaN,,NaN,,NaN,,
57,-3,-8,0,,59,NaN,NaN,-8,NaN,100,NaN,57,1
58,,,,,,NaN,NaN,,NaN,,NaN,,
59,-4,-8,0,,63,NaN,NaN,,NaN,,NaN,,
60,,,,,,NaN,NaN,,NaN,,NaN,,
61,-6,-8,0,,63,NaN,NaN,,NaN,,NaN,,
62,,,,,,NaN,NaN,,NaN,,NaN,,
