time,Solar8000/ETCO2,SNUADC/ECG_II,Solar8000/HR,Solar8000/CVP,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,SNUADC/CVP,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/RR_CO2,SNUADC/ART,Solar8000/ART_MBP,Solar8000/ART_DBP
0,,NaN,,,,,NaN,,NaN,,NaN,,
1,,-4.9562602043151855,,,,,-495.6260070800781,,-4.9562602043151855,,-496.78717041015625,,
2,,-4.956240177154541,,,,,-495.6240234375,,-4.956240177154541,,-496.7851867675781,,
3,,NaN,,,,,NaN,,NaN,,NaN,,
4,,NaN,49,-8,100,49,NaN,42,NaN,,NaN,13,-13
5,,NaN,,,,,NaN,,NaN,,NaN,,
6,,NaN,49,-8,100,49,NaN,23,NaN,,NaN,1,-33
7,,NaN,,,,,NaN,,NaN,,NaN,,
8,,NaN,48,-7,100,49,NaN,18,NaN,,NaN,-2,-29
9,,NaN,,,,,NaN,,NaN,,NaN,,
10,,NaN,48,-7,100,49,NaN,,NaN,,NaN,-8,
11,,NaN,,,,,NaN,,NaN,,NaN,,
12,,NaN,49,-7,100,49,NaN,,NaN,,NaN,-10,
13,,NaN,,,,,NaN,,NaN,,NaN,,
14,,NaN,49,-7,100,49,NaN,,NaN,,NaN,-10,
15,,NaN,,,,,NaN,,NaN,,NaN,,
16,,NaN,49,-7,100,50,NaN,,NaN,,NaN,-9,
17,,NaN,,,,,NaN,,NaN,,NaN,,
18,,NaN,49,-7,100,50,NaN,,NaN,,NaN,-9,
19,,NaN,,,,,NaN,,NaN,,NaN,,
20,,NaN,49,-6,100,50,NaN,,NaN,,NaN,-9,
21,,NaN,,,,,NaN,,NaN,,NaN,,
22,,NaN,49,-6,100,50,NaN,-9,NaN,,NaN,-9,-9
23,,NaN,,,,,NaN,,NaN,,NaN,,
24,,NaN,49,-7,100,50,NaN,-10,NaN,,NaN,-10,-10
25,,NaN,,,,,NaN,,NaN,,NaN,,
26,,NaN,49,-7,100,50,NaN,-10,NaN,,NaN,-10,-10
27,,NaN,,,,,NaN,,NaN,,NaN,,
28,,NaN,49,-6,100,50,NaN,-10,NaN,,NaN,-10,-10
29,,NaN,,,,,NaN,,NaN,,NaN,,
30,,NaN,49,-6,100,50,NaN,2,NaN,,NaN,-10,-25
31,,NaN,,,,,NaN,,NaN,,NaN,,
32,,NaN,49,-6,100,49,NaN,16,NaN,,NaN,2,-6
33,,NaN,,,,,NaN,,NaN,,NaN,,
34,,NaN,,-6,100,49,NaN,14,NaN,,NaN,4,0
35,,NaN,,,,,NaN,,NaN,,NaN,,
36,,NaN,,-6,100,49,NaN,46,NaN,,NaN,4,-11
37,,NaN,,,,,NaN,,NaN,,NaN,,
38,,NaN,54,-5,100,49,NaN,31,NaN,,NaN,4,-11
39,,NaN,,,,,NaN,,NaN,,NaN,,
40,,NaN,54,-5,100,50,NaN,87,NaN,,NaN,33,31
41,,NaN,,,,,NaN,,NaN,,NaN,,
42,,NaN,54,-6,100,50,NaN,85,NaN,,NaN,47,43
43,,NaN,,,,,NaN,,NaN,,NaN,,
44,,NaN,54,-6,100,50,NaN,85,NaN,,NaN,51,46
45,,NaN,,,,,NaN,,NaN,,NaN,,
46,,NaN,54,-6,100,50,NaN,92,NaN,,NaN,57,48
47,,NaN,,,,,NaN,,NaN,,NaN,,
48,,NaN,54,-6,100,50,NaN,88,NaN,,NaN,60,49
49,,NaN,,,,,NaN,,NaN,,NaN,,
50,,NaN,54,-7,100,50,NaN,86,NaN,,NaN,61,50
51,,NaN,,,,,NaN,,NaN,,NaN,,
52,,NaN,54,-7,100,50,NaN,87,NaN,,NaN,63,51
53,,NaN,,,,,NaN,,NaN,,NaN,,
54,,NaN,54,-6,100,50,NaN,84,NaN,,NaN,62,41
55,,NaN,,,,,NaN,,NaN,,NaN,,
56,,NaN,54,-6,100,49,NaN,96,NaN,,NaN,56,21
57,,NaN,,,,,NaN,,NaN,,NaN,,
58,,NaN,53,-6,100,49,NaN,87,NaN,,NaN,59,40
59,,NaN,,,,,NaN,,NaN,,NaN,,
60,,NaN,53,-6,100,49,NaN,87,NaN,,NaN,60,39
61,,NaN,,,,,NaN,,NaN,,NaN,,
62,,NaN,53,-6,100,48,NaN,91,NaN,,NaN,61,40
63,,NaN,,,,,NaN,,NaN,,NaN,,
64,,NaN,53,-6,100,49,NaN,86,NaN,,NaN,63,47
65,,NaN,,,,,NaN,,NaN,,NaN,,
66,21,NaN,53,-6,100,49,NaN,89,NaN,13,NaN,64,49
67,,NaN,,,,,NaN,,NaN,,NaN,,
68,21,NaN,54,-6,100,50,NaN,90,NaN,13,NaN,65,49
69,,NaN,,,,,NaN,,NaN,,NaN,,
70,21,NaN,54,-6,100,51,NaN,88,NaN,13,NaN,66,51
71,,NaN,,,,,NaN,,NaN,,NaN,,
72,21,NaN,54,-5,100,53,NaN,90,NaN,,NaN,68,55
73,,NaN,,,,,NaN,,NaN,,NaN,,
74,21,NaN,54,-5,100,55,NaN,90,NaN,,NaN,69,56
75,,NaN,,,,,NaN,,NaN,,NaN,,
