time,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/HR,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,Solar8000/ART_SBP,SNUADC/CVP,Solar8000/CVP,Solar8000/ETCO2,SNUADC/ART
0,,,,NaN,NaN,,,,,NaN,,,NaN
1,,,,-4.9562602043151855,-4.9562602043151855,,,,,-495.6260070800781,,,-499.346923828125
2,,,,-4.956240177154541,-4.956240177154541,,,,,-495.6240234375,,,-499.344970703125
3,,,,NaN,NaN,,,,,NaN,,,NaN
4,,,,NaN,NaN,,,,,NaN,,,NaN
5,0,,93,NaN,NaN,0,100,93,0,NaN,0,0,NaN
6,,,,NaN,NaN,,,,,NaN,,,NaN
7,0,,92,NaN,NaN,0,100,92,0,NaN,0,0,NaN
8,,,,NaN,NaN,,,,,NaN,,,NaN
9,0,,91,NaN,NaN,0,100,92,0,NaN,1,0,NaN
10,,,,NaN,NaN,,,,,NaN,,,NaN
11,0,,92,NaN,NaN,0,100,93,0,NaN,1,0,NaN
12,,,,NaN,NaN,,,,,NaN,,,NaN
13,0,,93,NaN,NaN,0,100,94,0,NaN,1,0,NaN
14,,,,NaN,NaN,,,,,NaN,,,NaN
15,0,,94,NaN,NaN,0,100,94,0,NaN,1,0,NaN
16,,,,NaN,NaN,,,,,NaN,,,NaN
17,0,,93,NaN,NaN,0,100,93,0,NaN,1,0,NaN
18,,,,NaN,NaN,,,,,NaN,,,NaN
19,0,,92,NaN,NaN,0,100,92,0,NaN,0,0,NaN
20,,,,NaN,NaN,,,,,NaN,,,NaN
21,0,,91,NaN,NaN,0,100,91,0,NaN,0,0,NaN
22,,,,NaN,NaN,,,,,NaN,,,NaN
23,0,,91,NaN,NaN,0,100,91,0,NaN,0,0,NaN
24,,,,NaN,NaN,,,,,NaN,,,NaN
25,0,,91,NaN,NaN,0,100,91,0,NaN,0,0,NaN
26,,,,NaN,NaN,,,,,NaN,,,NaN
27,0,,91,NaN,NaN,0,100,91,0,NaN,0,0,NaN
28,,,,NaN,NaN,,,,,NaN,,,NaN
29,0,,90,NaN,NaN,0,100,91,0,NaN,0,0,NaN
30,,,,NaN,NaN,,,,,NaN,,,NaN
31,0,,90,NaN,NaN,0,100,91,0,NaN,0,0,NaN
32,,,,NaN,NaN,,,,,NaN,,,NaN
33,0,,91,NaN,NaN,0,100,91,0,NaN,0,0,NaN
34,,,,NaN,NaN,,,,,NaN,,,NaN
35,0,,90,NaN,NaN,0,100,91,0,NaN,0,0,NaN
36,,,,NaN,NaN,,,,,NaN,,,NaN
37,0,,91,NaN,NaN,0,100,91,0,NaN,0,0,NaN
38,,,,NaN,NaN,,,,,NaN,,,NaN
39,0,,90,NaN,NaN,0,100,91,0,NaN,0,0,NaN
40,,,,NaN,NaN,,,,,NaN,,,NaN
41,0,,91,NaN,NaN,0,99,93,0,NaN,0,0,NaN
42,,,,NaN,NaN,,,,,NaN,,,NaN
43,0,,91,NaN,NaN,0,99,94,0,NaN,0,0,NaN
44,,,,NaN,NaN,,,,,NaN,,,NaN
45,1,,92,NaN,NaN,1,99,96,1,NaN,0,0,NaN
46,,,,NaN,NaN,,,,,NaN,,,NaN
47,1,,94,NaN,NaN,1,99,96,1,NaN,0,0,NaN
48,,,,NaN,NaN,,,,,NaN,,,NaN
49,0,,95,NaN,NaN,0,99,96,0,NaN,0,0,NaN
50,,,,NaN,NaN,,,,,NaN,,,NaN
51,0,,95,NaN,NaN,0,99,96,0,NaN,0,0,NaN
52,,,,NaN,NaN,,,,,NaN,,,NaN
53,0,,94,NaN,NaN,0,99,95,0,NaN,0,0,NaN
54,,,,NaN,NaN,,,,,NaN,,,NaN
55,0,,93,NaN,NaN,0,99,94,0,NaN,0,0,NaN
56,,,,NaN,NaN,,,,,NaN,,,NaN
57,0,,93,NaN,NaN,0,99,93,0,NaN,0,0,NaN
58,,,,NaN,NaN,,,,,NaN,,,NaN
59,0,,92,NaN,NaN,0,99,93,0,NaN,0,0,NaN
60,,,,NaN,NaN,,,,,NaN,,,NaN
61,0,,92,NaN,NaN,0,99,93,0,NaN,0,0,NaN
62,,,,NaN,NaN,,,,,NaN,,,NaN
63,0,,95,NaN,NaN,0,99,96,0,NaN,0,0,NaN
64,,,,NaN,NaN,,,,,NaN,,,NaN
65,0,,97,NaN,NaN,0,99,97,0,NaN,0,0,NaN
66,,,,NaN,NaN,,,,,NaN,,,NaN
67,-1,,98,NaN,NaN,0,99,98,0,NaN,0,0,NaN
68,,,,NaN,NaN,,,,,NaN,,,NaN
69,-1,,97,NaN,NaN,0,99,96,0,NaN,1,0,NaN
70,,,,NaN,NaN,,,,,NaN,,,NaN
71,-1,,96,NaN,NaN,0,99,96,0,NaN,1,0,NaN
72,,,,NaN,NaN,,,,,NaN,,,NaN
73,0,,,NaN,NaN,0,99,96,0,NaN,0,0,NaN
74,,,,NaN,NaN,,,,,NaN,,,NaN
75,-1,,,NaN,NaN,0,99,97,0,NaN,0,0,NaN
76,,,,NaN,NaN,,,,,NaN,,,NaN
77,-1,,,NaN,NaN,0,99,97,0,NaN,0,0,NaN
78,,,,NaN,NaN,,,,,NaN,,,NaN
79,1,,,NaN,NaN,1,99,96,1,NaN,-1,0,NaN
80,,,,NaN,NaN,,,,,NaN,,,NaN
81,1,,96,NaN,NaN,1,99,96,1,NaN,-1,0,NaN
82,,,,NaN,NaN,,,,,NaN,,,NaN
83,0,,96,NaN,NaN,0,99,97,0,NaN,1,0,NaN
84,,,,NaN,NaN,,,,,NaN,,,NaN
85,0,,96,NaN,NaN,0,99,98,0,NaN,1,0,NaN
86,,,,NaN,NaN,,,,,NaN,,,NaN
87,0,,97,NaN,NaN,0,99,98,0,NaN,0,0,NaN
88,,,,NaN,NaN,,,,,NaN,,,NaN
89,0,,98,NaN,NaN,0,99,99,0,NaN,0,0,NaN
90,,,,NaN,NaN,,,,,NaN,,,NaN
91,0,,99,NaN,NaN,0,99,100,0,NaN,0,0,NaN
92,,,,NaN,NaN,,,,,NaN,,,NaN
93,0,,99,NaN,NaN,0,100,100,0,NaN,0,0,NaN
94,,,,NaN,NaN,,,,,NaN,,,NaN
95,-1,,99,NaN,NaN,0,100,100,0,NaN,0,0,NaN
96,,,,NaN,NaN,,,,,NaN,,,NaN
97,-1,,100,NaN,NaN,0,100,101,0,NaN,0,0,NaN
98,,,,NaN,NaN,,,,,NaN,,,NaN
99,-1,,102,NaN,NaN,0,100,102,0,NaN,0,0,NaN
100,,,,NaN,NaN,,,,,NaN,,,NaN
101,0,,102,NaN,NaN,0,100,102,0,NaN,0,0,NaN
102,,,,NaN,NaN,,,,,NaN,,,NaN
103,0,,101,NaN,NaN,0,100,101,0,NaN,0,0,NaN
104,,,,NaN,NaN,,,,,NaN,,,NaN
105,0,,99,NaN,NaN,0,100,99,0,NaN,0,0,NaN
106,,,,NaN,NaN,,,,,NaN,,,NaN
107,0,,99,NaN,NaN,0,100,99,0,NaN,0,0,NaN
108,,,,NaN,NaN,,,,,NaN,,,NaN
109,0,,98,NaN,NaN,0,100,99,0,NaN,0,0,NaN
110,,,,NaN,NaN,,,,,NaN,,,NaN
111,0,,98,NaN,NaN,0,100,99,0,NaN,0,0,NaN
112,,,,NaN,NaN,,,,,NaN,,,NaN
113,0,,100,NaN,NaN,0,100,100,0,NaN,0,0,NaN
114,,,,NaN,NaN,,,,,NaN,,,NaN
115,0,,102,NaN,NaN,0,100,101,0,NaN,0,0,NaN
116,,,,NaN,NaN,,,,,NaN,,,NaN
117,0,,102,NaN,NaN,0,100,102,0,NaN,1,0,NaN
118,,,,NaN,NaN,,,,,NaN,,,NaN
119,0,,99,NaN,NaN,0,100,100,0,NaN,1,0,NaN
120,,,,NaN,NaN,,,,,NaN,,,NaN
121,0,,96,NaN,NaN,0,100,98,0,NaN,1,0,NaN
122,,,,NaN,NaN,,,,,NaN,,,NaN
123,0,,96,NaN,NaN,0,100,97,0,NaN,1,35,NaN
124,,,,NaN,NaN,,,,,NaN,,,NaN
125,0,,96,NaN,NaN,0,100,97,0,NaN,0,35,NaN
126,,,,NaN,NaN,,,,,NaN,,,NaN
127,0,,96,NaN,NaN,0,100,97,0,NaN,0,35,NaN
128,,,,NaN,NaN,,,,,NaN,,,NaN
129,0,,96,NaN,NaN,0,100,97,0,NaN,0,35,NaN
130,,,,NaN,NaN,,,,,NaN,,,NaN
131,0,,96,NaN,NaN,0,100,96,0,NaN,0,,NaN
132,,,,NaN,NaN,,,,,NaN,,,NaN
133,0,,97,NaN,NaN,0,100,96,0,NaN,1,,NaN
134,,,,NaN,NaN,,,,,NaN,,,NaN
135,0,,98,NaN,NaN,0,100,97,0,NaN,1,,NaN
136,,,,NaN,NaN,,,,,NaN,,,NaN
137,1,,98,NaN,NaN,1,100,98,1,NaN,0,,NaN
138,,,,NaN,NaN,,,,,NaN,,,NaN
139,1,,96,NaN,NaN,1,100,97,1,NaN,0,,NaN
140,,,,NaN,NaN,,,,,NaN,,,NaN
141,0,,94,NaN,NaN,0,100,94,0,NaN,0,,NaN
142,,,,NaN,NaN,,,,,NaN,,,NaN
143,0,,92,NaN,NaN,0,100,93,0,NaN,0,,NaN
144,,,,NaN,NaN,,,,,NaN,,,NaN
145,0,,91,NaN,NaN,0,100,91,0,NaN,0,,NaN
146,,,,NaN,NaN,,,,,NaN,,,NaN
147,0,,90,NaN,NaN,0,100,91,0,NaN,0,,NaN
148,,,,NaN,NaN,,,,,NaN,,,NaN
149,0,,91,NaN,NaN,0,100,91,0,NaN,0,,NaN
150,,,,NaN,NaN,,,,,NaN,,,NaN
151,0,,91,NaN,NaN,0,100,92,0,NaN,0,,NaN
152,,,,NaN,NaN,,,,,NaN,,,NaN
153,0,,91,NaN,NaN,0,100,92,0,NaN,0,,NaN
154,,,,NaN,NaN,,,,,NaN,,,NaN
155,0,,91,NaN,NaN,0,100,92,0,NaN,0,,NaN
156,,,,NaN,NaN,,,,,NaN,,,NaN
157,0,,91,NaN,NaN,0,100,93,0,NaN,0,,NaN
158,,,,NaN,NaN,,,,,NaN,,,NaN
159,0,,92,NaN,NaN,0,100,94,0,NaN,0,,NaN
160,,,,NaN,NaN,,,,,NaN,,,NaN
161,0,,94,NaN,NaN,0,100,94,0,NaN,0,,NaN
162,,,,NaN,NaN,,,,,NaN,,,NaN
163,0,,94,NaN,NaN,0,100,95,0,NaN,0,,NaN
164,,,,NaN,NaN,,,,,NaN,,,NaN
