time,Solar8000/HR,SNUADC/ECG_V5,Solar8000/ART_SBP,SNUADC/ECG_II,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/RR_CO2,Solar8000/ART_DBP,Solar8000/PLETH_SPO2,Solar8000/CVP,SNUADC/ART,SNUADC/CVP,Solar8000/PLETH_HR
0,,NaN,,NaN,,,,,,,NaN,NaN,
1,,-4.9562602043151855,,-4.9562602043151855,,,,,,,-496.78717041015625,-495.6260070800781,
2,,-4.956240177154541,,-4.956240177154541,,,,,,,-496.7851867675781,-495.6240234375,
3,,NaN,,NaN,,,,,,,NaN,NaN,
4,68,NaN,-1,NaN,-1,1,,-1,86,0,NaN,NaN,121
5,,NaN,,NaN,,,,,,,NaN,NaN,
6,67,NaN,-1,NaN,-1,1,,-1,86,0,NaN,NaN,121
7,,NaN,,NaN,,,,,,,NaN,NaN,
8,67,NaN,-1,NaN,-1,1,,-1,84,0,NaN,NaN,120
9,,NaN,,NaN,,,,,,,NaN,NaN,
10,67,NaN,-1,NaN,-1,1,,-1,88,0,NaN,NaN,113
11,,NaN,,NaN,,,,,,,NaN,NaN,
12,67,NaN,-1,NaN,-1,1,,-1,87,0,NaN,NaN,110
13,,NaN,,NaN,,,,,,,NaN,NaN,
14,67,NaN,-1,NaN,-1,1,,-1,92,0,NaN,NaN,100
15,,NaN,,NaN,,,,,,,NaN,NaN,
16,67,NaN,-1,NaN,-1,1,,-1,94,0,NaN,NaN,89
17,,NaN,,NaN,,,,,,,NaN,NaN,
18,66,NaN,-1,NaN,-1,1,,-1,96,0,NaN,NaN,75
19,,NaN,,NaN,,,,,,,NaN,NaN,
20,66,NaN,-1,NaN,-1,1,,-1,97,0,NaN,NaN,68
21,,NaN,,NaN,,,,,,,NaN,NaN,
22,66,NaN,-1,NaN,-1,,,-1,96,0,NaN,NaN,68
23,,NaN,,NaN,,,,,,,NaN,NaN,
24,67,NaN,-1,NaN,-1,,,-1,96,0,NaN,NaN,68
25,,NaN,,NaN,,,,,,,NaN,NaN,
26,66,NaN,-1,NaN,-1,,,-1,96,0,NaN,NaN,68
27,,NaN,,NaN,,,,,,,NaN,NaN,
28,66,NaN,-1,NaN,-1,,,-1,96,0,NaN,NaN,67
29,,NaN,,NaN,,,,,,,NaN,NaN,
30,66,NaN,-1,NaN,-1,,,-1,96,0,NaN,NaN,67
31,,NaN,,NaN,,,,,,,NaN,NaN,
32,66,NaN,1,NaN,1,,,1,97,0,NaN,NaN,67
33,,NaN,,NaN,,,,,,,NaN,NaN,
34,66,NaN,1,NaN,1,,,1,97,0,NaN,NaN,67
35,,NaN,,NaN,,,,,,,NaN,NaN,
36,66,NaN,1,NaN,1,,,1,97,0,NaN,NaN,67
37,,NaN,,NaN,,,,,,,NaN,NaN,
38,66,NaN,1,NaN,1,,,1,97,0,NaN,NaN,67
39,,NaN,,NaN,,,,,,,NaN,NaN,
40,67,NaN,1,NaN,1,,,1,97,0,NaN,NaN,67
41,,NaN,,NaN,,,,,,,NaN,NaN,
42,66,NaN,1,NaN,1,,,1,97,0,NaN,NaN,67
43,,NaN,,NaN,,,,,,,NaN,NaN,
44,66,NaN,1,NaN,1,,,1,97,0,NaN,NaN,67
45,,NaN,,NaN,,,,,,,NaN,NaN,
46,66,NaN,1,NaN,1,,,1,97,1,NaN,NaN,67
47,,NaN,,NaN,,,,,,,NaN,NaN,
48,66,NaN,1,NaN,1,,,1,96,1,NaN,NaN,66
49,,NaN,,NaN,,,,,,,NaN,NaN,
50,66,NaN,1,NaN,1,,,1,96,1,NaN,NaN,66
51,,NaN,,NaN,,,,,,,NaN,NaN,
52,65,NaN,1,NaN,1,,,1,96,1,NaN,NaN,66
53,,NaN,,NaN,,,,,,,NaN,NaN,
54,65,NaN,1,NaN,1,,,1,96,1,NaN,NaN,66
55,,NaN,,NaN,,,,,,,NaN,NaN,
56,65,NaN,1,NaN,1,,,1,96,1,NaN,NaN,65
57,,NaN,,NaN,,,,,,,NaN,NaN,
58,65,NaN,1,NaN,1,,,1,96,1,NaN,NaN,65
59,,NaN,,NaN,,,,,,,NaN,NaN,
60,65,NaN,1,NaN,1,,,1,96,1,NaN,NaN,65
61,,NaN,,NaN,,,,,,,NaN,NaN,
62,65,NaN,1,NaN,1,,,1,96,1,NaN,NaN,65
63,,NaN,,NaN,,,,,,,NaN,NaN,
