time,Solar8000/ART_DBP,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,SNUADC/ART,SNUADC/ECG_II,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/ETCO2,SNUADC/CVP,Solar8000/CVP,Solar8000/ART_MBP,Solar8000/HR
0,,,NaN,NaN,NaN,,,,,NaN,,,
1,,,-4.9562602043151855,-491.88665771484375,-4.9562602043151855,,,,,-495.6260070800781,,,
2,-2,100,-4.956240177154541,-491.88470458984375,-4.956240177154541,,-2,105,0,-495.6240234375,-27,-2,103
3,,,NaN,NaN,NaN,,,,,NaN,,,
4,-2,100,NaN,NaN,NaN,,-2,106,0,NaN,-27,-2,105
5,,,NaN,NaN,NaN,,,,,NaN,,,
6,-3,100,NaN,NaN,NaN,,-3,107,0,NaN,-27,-3,105
7,,,NaN,NaN,NaN,,,,,NaN,,,
8,-3,100,NaN,NaN,NaN,,-3,106,0,NaN,-27,-3,104
9,,,NaN,NaN,NaN,,,,,NaN,,,
10,-3,100,NaN,NaN,NaN,,-3,105,0,NaN,-27,-3,103
11,,,NaN,NaN,NaN,,,,,NaN,,,
12,-3,100,NaN,NaN,NaN,,-3,104,0,NaN,-27,-3,102
13,,,NaN,NaN,NaN,,,,,NaN,,,
14,-7,100,NaN,NaN,NaN,,1,104,0,NaN,-26,-4,102
15,,,NaN,NaN,NaN,,,,,NaN,,,
16,-7,100,NaN,NaN,NaN,,1,105,0,NaN,-26,-4,102
17,,,NaN,NaN,NaN,,,,,NaN,,,
18,-2,100,NaN,NaN,NaN,,-2,106,0,NaN,-27,-2,103
19,,,NaN,NaN,NaN,,,,,NaN,,,
20,-2,100,NaN,NaN,NaN,,-2,107,0,NaN,-27,-2,104
21,,,NaN,NaN,NaN,,,,,NaN,,,
22,-25,100,NaN,NaN,NaN,,26,106,0,NaN,-27,-4,105
23,,,NaN,NaN,NaN,,,,,NaN,,,
24,16,100,NaN,NaN,NaN,,42,106,0,NaN,-27,-4,105
25,,,NaN,NaN,NaN,,,,,NaN,,,
26,-8,100,NaN,NaN,NaN,,18,105,0,NaN,-27,-4,105
27,,,NaN,NaN,NaN,,,,,NaN,,,
28,-8,100,NaN,NaN,NaN,,18,105,0,NaN,-26,-4,105
29,,,NaN,NaN,NaN,,,,,NaN,,,
30,-2,100,NaN,NaN,NaN,,-2,104,0,NaN,-26,-2,105
31,,,NaN,NaN,NaN,,,,,NaN,,,
32,-2,100,NaN,NaN,NaN,,-2,104,0,NaN,-27,-2,105
33,,,NaN,NaN,NaN,,,,,NaN,,,
34,-3,100,NaN,NaN,NaN,,-3,106,0,NaN,-27,-3,104
35,,,NaN,NaN,NaN,,,,,NaN,,,
36,-3,100,NaN,NaN,NaN,,-3,106,0,NaN,-26,-3,103
37,,,NaN,NaN,NaN,,,,,NaN,,,
38,-3,100,NaN,NaN,NaN,,-3,103,0,NaN,-26,-3,103
39,,,NaN,NaN,NaN,,,,,NaN,,,
40,-3,100,NaN,NaN,NaN,,-3,97,0,NaN,-27,-3,101
41,,,NaN,NaN,NaN,,,,,NaN,,,
42,-3,100,NaN,NaN,NaN,,-3,96,0,NaN,-27,-3,101
43,,,NaN,NaN,NaN,,,,,NaN,,,
44,-3,100,NaN,NaN,NaN,,-3,97,0,NaN,-27,-3,101
45,,,NaN,NaN,NaN,,,,,NaN,,,
46,-3,100,NaN,NaN,NaN,,-3,102,0,NaN,-27,-3,100
47,,,NaN,NaN,NaN,,,,,NaN,,,
48,-3,100,NaN,NaN,NaN,,-3,102,0,NaN,-27,-3,99
49,,,NaN,NaN,NaN,,,,,NaN,,,
50,-3,100,NaN,NaN,NaN,,-3,101,0,NaN,-27,-3,99
51,,,NaN,NaN,NaN,,,,,NaN,,,
52,-3,100,NaN,NaN,NaN,,-3,102,0,NaN,-27,-3,99
53,,,NaN,NaN,NaN,,,,,NaN,,,
54,-3,100,NaN,NaN,NaN,,-3,103,0,NaN,-27,-3,100
55,,,NaN,NaN,NaN,,,,,NaN,,,
56,-3,100,NaN,NaN,NaN,,-3,105,0,NaN,-27,-3,102
57,,,NaN,NaN,NaN,,,,,NaN,,,
58,-3,100,NaN,NaN,NaN,,-3,105,0,NaN,-27,-3,103
59,,,NaN,NaN,NaN,,,,,NaN,,,
60,-3,100,NaN,NaN,NaN,,-3,105,0,NaN,-27,-3,103
61,,,NaN,NaN,NaN,,,,,NaN,,,
62,-3,100,NaN,NaN,NaN,,-3,105,0,NaN,-28,-3,102
63,,,NaN,NaN,NaN,,,,,NaN,,,
64,-3,100,NaN,NaN,NaN,,-3,104,0,NaN,-28,-3,102
65,,,NaN,NaN,NaN,,,,,NaN,,,
66,-3,100,NaN,NaN,NaN,,-3,103,0,NaN,-27,-3,101
67,,,NaN,NaN,NaN,,,,,NaN,,,
68,-3,100,NaN,NaN,NaN,,-3,104,0,NaN,-27,-3,102
69,,,NaN,NaN,NaN,,,,,NaN,,,
70,-3,100,NaN,NaN,NaN,,-3,105,0,NaN,-27,-3,103
71,,,NaN,NaN,NaN,,,,,NaN,,,
72,-3,100,NaN,NaN,NaN,,-3,105,0,NaN,-27,-3,103
73,,,NaN,NaN,NaN,,,,,NaN,,,
74,-3,100,NaN,NaN,NaN,,-3,104,0,NaN,-27,-3,102
75,,,NaN,NaN,NaN,,,,,NaN,,,
76,-3,100,NaN,NaN,NaN,,-3,102,0,NaN,-27,-3,100
77,,,NaN,NaN,NaN,,,,,NaN,,,
78,-3,100,NaN,NaN,NaN,,-3,100,0,NaN,-27,-3,98
79,,,NaN,NaN,NaN,,,,,NaN,,,
80,-3,100,NaN,NaN,NaN,,-3,100,0,NaN,-27,-3,98
81,,,NaN,NaN,NaN,,,,,NaN,,,
82,-3,100,NaN,NaN,NaN,,-3,100,0,NaN,-28,-3,98
83,,,NaN,NaN,NaN,,,,,NaN,,,
84,-3,100,NaN,NaN,NaN,,-3,101,0,NaN,-28,-3,99
85,,,NaN,NaN,NaN,,,,,NaN,,,
86,-3,100,NaN,NaN,NaN,,-3,102,0,NaN,-28,-3,100
87,,,NaN,NaN,NaN,,,,,NaN,,,
88,-3,100,NaN,NaN,NaN,,-3,101,0,NaN,-28,-3,99
89,,,NaN,NaN,NaN,,,,,NaN,,,
90,-3,100,NaN,NaN,NaN,,-3,100,0,NaN,-28,-3,97
91,,,NaN,NaN,NaN,,,,,NaN,,,
92,-3,100,NaN,NaN,NaN,,-3,98,0,NaN,-27,-3,96
93,,,NaN,NaN,NaN,,,,,NaN,,,
94,-3,100,NaN,NaN,NaN,,-3,97,0,NaN,-27,-3,94
95,,,NaN,NaN,NaN,,,,,NaN,,,
96,-3,100,NaN,NaN,NaN,,-3,96,0,NaN,-27,-3,94
97,,,NaN,NaN,NaN,,,,,NaN,,,
98,-3,100,NaN,NaN,NaN,,-3,96,0,NaN,-27,-3,94
99,,,NaN,NaN,NaN,,,,,NaN,,,
100,-3,100,NaN,NaN,NaN,,-3,96,0,NaN,-27,-3,93
101,,,NaN,NaN,NaN,,,,,NaN,,,
102,-2,100,NaN,NaN,NaN,,-2,96,0,NaN,-27,-2,93
103,,,NaN,NaN,NaN,,,,,NaN,,,
104,-2,100,NaN,NaN,NaN,,-2,98,0,NaN,-28,-2,95
105,,,NaN,NaN,NaN,,,,,NaN,,,
106,-2,100,NaN,NaN,NaN,,-2,99,0,NaN,-28,-2,98
107,,,NaN,NaN,NaN,,,,,NaN,,,
108,-2,100,NaN,NaN,NaN,,-2,100,0,NaN,-28,-2,98
109,,,NaN,NaN,NaN,,,,,NaN,,,
110,-3,100,NaN,NaN,NaN,,-3,100,0,NaN,-28,-3,98
111,,,NaN,NaN,NaN,,,,,NaN,,,
112,-3,100,NaN,NaN,NaN,,-3,101,0,NaN,-28,-3,99
113,,,NaN,NaN,NaN,,,,,NaN,,,
114,-3,100,NaN,NaN,NaN,,-3,101,0,NaN,-28,-3,99
115,,,NaN,NaN,NaN,,,,,NaN,,,
116,-3,100,NaN,NaN,NaN,,-3,101,0,NaN,-28,-3,99
117,,,NaN,NaN,NaN,,,,,NaN,,,
118,-3,100,NaN,NaN,NaN,,-3,101,0,NaN,-28,-3,98
119,,,NaN,NaN,NaN,,,,,NaN,,,
